method,issue,prevalence_class,true_rate,median_stop_n,mean_stop_fraction,p95_stop_n,success_rate,median_relative_error,p95_relative_error,maximum_relative_error,full_budget_rate
fixed_2pct,Cookie security,High,0.3127721170461571,496689.0,0.020000006442665395,496689.0,1.0,0.0014839347212574601,0.003962826508620218,0.007367405815640729,0.0
fixed_2pct,Clickjacking,Medium,0.18477785810528782,496689.0,0.020000006442665395,496689.0,1.0,0.0019503769713595763,0.0057414455484614884,0.012027728920933674,0.0
fixed_2pct,CORS,Low,0.0028003850458971457,496689.0,0.020000006442665395,496689.0,0.939,0.01905213201583926,0.051851704995107536,0.11436998583210602,0.0
fixed_4pct,Cookie security,High,0.3127721170461571,993378.0,0.04000001288533079,993378.0,1.0,0.0010333406549479934,0.002671829981733492,0.004338384321269466,0.0
fixed_4pct,Clickjacking,Medium,0.18477785810528782,993378.0,0.04000001288533079,993378.0,1.0,0.0013919589837496703,0.004004084609448748,0.0064762369270359695,0.0
fixed_4pct,CORS,Low,0.0028003850458971457,993378.0,0.04000001288533079,993378.0,0.99,0.013660019181167682,0.03660917353869548,0.07195203153269039,0.0
change_only,Cookie security,High,0.3127721170461571,993378.0,0.04000001288533079,993378.0,1.0,0.0010333406549479934,0.002671829981733492,0.004338384321269466,0.0
change_only,Clickjacking,Medium,0.18477785810528782,993378.0,0.04000001288533079,993378.0,1.0,0.0013919589837496703,0.004004084609448748,0.0064762369270359695,0.0
change_only,CORS,Low,0.0028003850458971457,993378.0,0.04024001296264278,993378.0,0.99,0.013602825444097064,0.03660917353869548,0.07195203153269039,0.0
margin_only,Cookie security,High,0.3127721170461571,993378.0,0.04000001288533079,993378.0,1.0,0.0010333406549479934,0.002671829981733492,0.004338384321269466,0.0
margin_only,Clickjacking,Medium,0.18477785810528782,993378.0,0.04000001288533079,993378.0,1.0,0.0013919589837496703,0.004004084609448748,0.0064762369270359695,0.0
margin_only,CORS,Low,0.0028003850458971457,993378.0,0.04000001288533079,993378.0,0.99,0.013660019181167682,0.03660917353869548,0.07195203153269039,0.0
adaptive,Cookie security,High,0.3127721170461571,993378.0,0.04000001288533079,993378.0,1.0,0.0010333406549479934,0.002671829981733492,0.004338384321269466,0.0
adaptive,Clickjacking,Medium,0.18477785810528782,993378.0,0.04000001288533079,993378.0,1.0,0.0013919589837496703,0.004004084609448748,0.0064762369270359695,0.0
adaptive,CORS,Low,0.0028003850458971457,993378.0,0.04024001296264278,993378.0,0.99,0.013602825444097064,0.03660917353869548,0.07195203153269039,0.0
