issue,prevalence_class,stage_n,stage_fraction,trial_count,trial_fraction,cumulative_trial_fraction
Cookie security,High,496689,0.02000000644266539,0,0.0,0.0
Cookie security,High,993378,0.04000001288533078,1000,1.0,1.0
Cookie security,High,1986756,0.08000002577066156,0,0.0,1.0
Cookie security,High,3973512,0.16000005154132313,0,0.0,1.0
Cookie security,High,7947024,0.32000010308264626,0,0.0,1.0
Cookie security,High,15894048,0.6400002061652925,0,0.0,1.0
Cookie security,High,24834442,1.0,0,0.0,1.0
Clickjacking,Medium,496689,0.02000000644266539,0,0.0,0.0
Clickjacking,Medium,993378,0.04000001288533078,1000,1.0,1.0
Clickjacking,Medium,1986756,0.08000002577066156,0,0.0,1.0
Clickjacking,Medium,3973512,0.16000005154132313,0,0.0,1.0
Clickjacking,Medium,7947024,0.32000010308264626,0,0.0,1.0
Clickjacking,Medium,15894048,0.6400002061652925,0,0.0,1.0
Clickjacking,Medium,24834442,1.0,0,0.0,1.0
CORS,Low,496689,0.02000000644266539,0,0.0,0.0
CORS,Low,993378,0.04000001288533078,994,0.994,0.994
CORS,Low,1986756,0.08000002577066156,6,0.006,1.0
CORS,Low,3973512,0.16000005154132313,0,0.0,1.0
CORS,Low,7947024,0.32000010308264626,0,0.0,1.0
CORS,Low,15894048,0.6400002061652925,0,0.0,1.0
CORS,Low,24834442,1.0,0,0.0,1.0
