method,issue,prevalence_class,true_rate,median_stop_n,mean_stop_fraction,p95_stop_n,success_rate,median_relative_error,p95_relative_error,maximum_relative_error,full_budget_rate
fixed_2pct,Cookie security,High,0.232696,10000.0,0.02,10000.0,0.995,0.012050056726372611,0.034792175198542274,0.06018152439234029,0.0
fixed_2pct,Clickjacking,Medium,0.096926,10000.0,0.02,10000.0,0.913,0.020902544208984176,0.05804428120421757,0.1359181231042239,0.0
fixed_2pct,CORS,Low,0.005788,10000.0,0.02,10000.0,0.332,0.08845888044229445,0.25708362128541806,0.4512785072563925,0.0
fixed_4pct,Cookie security,High,0.232696,20000.0,0.04,20000.0,0.999,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
fixed_4pct,Clickjacking,Medium,0.096926,20000.0,0.04,20000.0,0.992,0.014196397251511485,0.04048449332480446,0.05959185357901908,0.0
fixed_4pct,CORS,Low,0.005788,20000.0,0.04,20000.0,0.434,0.06254319281271603,0.1748445058742225,0.30442294402211484,0.0
change_only,Cookie security,High,0.232696,20000.0,0.04,20000.0,0.999,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
change_only,Clickjacking,Medium,0.096926,20000.0,0.04096,20000.0,0.992,0.014196397251511485,0.039478571281183636,0.05959185357901908,0.0
change_only,CORS,Low,0.005788,40000.0,0.09972000000000002,160000.0,0.593,0.041119557705597706,0.14067899101589468,0.2698686938493435,0.001
margin_only,Cookie security,High,0.232696,20000.0,0.04,20000.0,0.999,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
margin_only,Clickjacking,Medium,0.096926,20000.0,0.04,20000.0,0.992,0.014196397251511485,0.04048449332480446,0.05959185357901908,0.0
margin_only,CORS,Low,0.005788,320000.0,0.64,320000.0,0.999,0.009264858327574267,0.026541983413959937,0.05299758120248786,0.0
adaptive,Cookie security,High,0.232696,20000.0,0.04,20000.0,0.999,0.008397222126723327,0.025381184034104654,0.05137174682848017,0.0
adaptive,Clickjacking,Medium,0.096926,20000.0,0.04096,20000.0,0.992,0.014196397251511485,0.039478571281183636,0.05959185357901908,0.0
adaptive,CORS,Low,0.005788,320000.0,0.6500800000000001,320000.0,0.999,0.009092087076710538,0.026377850725639248,0.05299758120248786,0.028
