trial,issue,stage_n,stage_fraction,positive_count,estimate,half_width,relative_change,relative_margin,is_stop,full_data_rate_evaluation_only
0,Cookie security,10000,0.02,2373,0.2373,0.008254434115429666,inf,0.03478480453194128,False,0.232696
0,Cookie security,20000,0.04,4680,0.234,0.005748988733234289,0.01410256410256409,0.024568327919804653,True,0.232696
0,Clickjacking,10000,0.02,979,0.0979,0.005766074514940003,inf,0.05889759463677225,False,0.096926
0,Clickjacking,20000,0.04,1927,0.09635,0.004006776610883254,0.016087182148417183,0.04158564204341727,True,0.096926
0,CORS,10000,0.02,53,0.0053,0.0014087877186302474,inf,0.26580900351514103,False,0.005788
0,CORS,20000,0.04,119,0.00595,0.0010443155426292216,0.10924369747899165,0.17551521724860866,False,0.005788
0,CORS,40000,0.08,235,0.005875,0.0007183512908772165,0.012765957446808581,0.12227256014931345,False,0.005788
0,CORS,80000,0.16,462,0.005775,0.00048123976806905584,0.01731601731601736,0.08333156157039928,False,0.005788
0,CORS,160000,0.32,930,0.0058125,0.00030715573069972787,0.006451612903225842,0.052843996679523074,False,0.005788
0,CORS,320000,0.64,1841,0.005753125,0.0001572257984634209,0.010320478001086285,0.027328764534652192,True,0.005788
