method,issue,prevalence_class,true_rate,median_stop_n,mean_stop_fraction,p95_stop_n,success_rate,median_relative_error,p95_relative_error,maximum_relative_error,full_budget_rate
fixed_2pct,Cookie security,High,0.23342,2000.0,0.02,2000.0,0.799,0.026047468083283364,0.07959900608345477,0.13460714591723064,0.0
fixed_2pct,Clickjacking,Medium,0.11005,2000.0,0.02,2000.0,0.569,0.041344843253066775,0.12676056338028174,0.21853702862335306,0.0
fixed_2pct,CORS,Low,0.00759,2000.0,0.02,2000.0,0.104,0.18577075098814214,0.515151515151515,0.7786561264822133,0.0
fixed_4pct,Cookie security,High,0.23342,4000.0,0.04,4000.0,0.914,0.01893582383686051,0.05752720418130401,0.10247622311712791,0.0
fixed_4pct,Clickjacking,Medium,0.11005,4000.0,0.04,4000.0,0.75,0.02771467514766013,0.08684688777828244,0.14129940935938207,0.0
fixed_4pct,CORS,Low,0.00759,4000.0,0.04,4000.0,0.219,0.11989459815546774,0.34123847167325433,0.515151515151515,0.0
change_only,Cookie security,High,0.23342,4000.0,0.04336,8000.0,0.92,0.01786479307685708,0.057492931196983926,0.10247622311712791,0.0
change_only,Clickjacking,Medium,0.11005,4000.0,0.05224000000000001,8000.0,0.79,0.02498864152657885,0.084575193094048,0.14129940935938207,0.0
change_only,CORS,Low,0.00759,16000.0,0.21852000000000002,64000.0,0.465,0.05401844532279312,0.2424242424242425,0.4492753623188404,0.035
margin_only,Cookie security,High,0.23342,8000.0,0.08,8000.0,0.99,0.012659583583240567,0.03784808499700111,0.07355839259703535,0.0
margin_only,Clickjacking,Medium,0.11005,16000.0,0.16,16000.0,0.983,0.01351658337119481,0.0407769195820081,0.07564743298500681,0.0
margin_only,CORS,Low,0.00759,100000.0,1.0,100000.0,1.0,0.0,0.0,0.0,1.0
adaptive,Cookie security,High,0.23342,8000.0,0.08136,8000.0,0.99,0.012659583583240567,0.037828806443321074,0.07355839259703535,0.0
adaptive,Clickjacking,Medium,0.11005,16000.0,0.16368000000000002,16000.0,0.983,0.013175829168559808,0.0407769195820081,0.07564743298500681,0.0
adaptive,CORS,Low,0.00759,100000.0,1.0,100000.0,1.0,0.0,0.0,0.0,1.0
