Ratio,Size,Mean Error(%),CI Lower(%),CI Upper(%),Over(%),Under(%),Peak Signed(%),RMS(%)
0.002,1000,-0.22659999999999902,-0.8015999999999995,0.973400000000002,44.0,56.00000000000001,2.4734000000000034,1.1797658920311276
0.004,2000,0.2484000000000014,-0.7390999999999994,1.0734000000000021,56.00000000000001,44.0,-2.9266000000000014,1.2157379487373101
0.006,3000,-0.04326666666666645,-0.5932666666666655,0.6067333333333313,46.0,54.0,-2.293266666666666,0.843250644167491
0.008,4000,-0.08910000000000029,-0.6640999999999966,0.4671500000000009,46.0,54.0,1.6984,0.8655876963081206
0.01,5000,-0.22659999999999902,-0.4715999999999984,0.34339999999999926,38.0,62.0,-1.4266,0.6242927838762833
0.012,6000,-0.1932666666666666,-0.46826666666666544,0.19840000000000274,30.0,70.0,-1.4599333333333353,0.5858487518122742
0.014,7000,0.18768571428571246,-0.2587428571428574,0.3519714285714279,60.0,40.0,1.20197142857143,0.5368968745276426
0.016,8000,0.004650000000000487,-0.24222500000000147,0.295274999999999,50.0,50.0,1.0734000000000021,0.4343235372392341
0.018,9000,-0.04326666666666645,-0.3793777777777757,0.2622888888888897,48.0,52.0,1.1178444444444435,0.48764131171270625
0.02,10000,-0.12159999999999949,-0.35660000000000136,0.42340000000000017,42.0,57.99999999999999,-1.3266,0.5331337168103324
0.022,11000,0.07340000000000124,-0.29478181818181765,0.4188545454545445,54.0,46.0,1.4097636363636368,0.5071553428863607
0.024,12000,-0.02243333333333264,-0.29326666666666806,0.22340000000000138,46.0,54.0,-1.1849333333333323,0.42744871557234115
0.026,13000,0.06955384615384697,-0.29006153846153904,0.3676307692307715,52.0,48.0,0.9580153846153849,0.3911247023406537
0.028,14000,-0.04802857142857109,-0.4033857142857117,0.2662571428571431,48.0,52.0,-1.1337428571428554,0.4567144251306817
0.03,15000,-0.06659999999999999,-0.3849333333333316,0.14673333333333205,48.0,52.0,-0.8599333333333348,0.38016965218760457
0.032,16000,-0.05159999999999887,-0.30003749999999857,0.27652500000000246,44.0,56.00000000000001,1.379649999999999,0.4503556344712477
0.034,17000,-0.04718823529411831,-0.26189411764706017,0.2601647058823528,46.0,54.0,-0.8383647058823496,0.38834359291633674
0.036,18000,0.003955555555554269,-0.29048888888888874,0.2747888888888883,50.0,50.0,0.8567333333333316,0.3641759369953204
0.038,19000,-0.00028421052631344423,-0.2437052631578951,0.20366315789473732,48.0,52.0,-1.331863157894736,0.4183065330207822
0.04,20000,-0.024099999999999122,-0.13659999999999783,0.26714999999999933,48.0,52.0,0.8834000000000009,0.34697723268249164
0.042,21000,-0.033742857142857186,-0.2527904761904745,0.19244761904761987,46.0,54.0,-0.6646952380952365,0.3066997510991213
0.044,22000,0.09840000000000126,-0.13455454545454465,0.32340000000000146,62.0,38.0,-0.9220545454545426,0.3382787588331342
0.046,23000,-0.009208695652174193,-0.20377391304347708,0.2484,48.0,52.0,0.7473130434782593,0.32130034015268427
0.048,24000,-0.030766666666665055,-0.23076666666666523,0.14006666666666612,44.0,56.00000000000001,0.677566666666668,0.3037268399949751
0.05,25000,-0.018599999999999173,-0.17560000000000076,0.16440000000000066,50.0,50.0,0.973400000000002,0.267758831787114
0.052,26000,-0.02467692307692171,-0.20063846153845905,0.15128461538461563,48.0,52.0,0.6234000000000017,0.28466590861328533
0.054,27000,-0.02474814814814874,-0.26548888888888594,0.15117777777777924,46.0,54.0,0.5845111111111134,0.27291388884962087
0.056,28000,0.0394714285714276,-0.2266000000000004,0.24482857142857362,54.0,46.0,-0.6158857142857133,0.3011987864842618
0.058,29000,0.01133103448275885,-0.16711724137930956,0.2182275862068997,54.0,46.0,0.5113310344827593,0.24134584290153058
0.06,30000,0.02006666666666823,-0.1549333333333333,0.1625666666666678,52.0,48.0,0.7300666666666678,0.26595606153398055
0.062,31000,-0.016922580645162277,-0.13063225806451417,0.20485161290322573,44.0,56.00000000000001,0.5475935483870986,0.2371393816445154
0.064,32000,-0.042224999999998514,-0.1930062499999996,0.22652500000000242,46.0,54.0,0.6734000000000018,0.2795347009988208
0.066,33000,-0.04629696969697117,-0.1720545454545433,0.09082424242424364,48.0,52.0,-0.5690242424242431,0.2062912542485278
0.068,34000,0.0013411764705900664,-0.14571764705882118,0.14692941176470686,50.0,50.0,0.49987058823529606,0.19782914616573644
0.07,35000,0.010542857142858963,-0.2323142857142857,0.19339999999999913,52.0,48.0,0.6962571428571429,0.31460263112409614
0.072,36000,0.02478888888889086,-0.14534999999999826,0.21367777777777652,52.0,48.0,-0.5654888888888876,0.2506038302841487
0.074,37000,0.057183783783784636,-0.12659999999999755,0.2484,57.99999999999999,42.0,-0.613086486486486,0.2566891678322167
0.076,38000,0.03129473684210793,-0.11344210526315762,0.15761052631578787,57.99999999999999,42.0,0.6339263157894737,0.20615999730193704
0.078,39000,-0.0035230769230787384,-0.17852307692307612,0.13301538461538698,50.0,50.0,0.5631435897435921,0.24105675134737697
0.08,40000,-0.05159999999999887,-0.18159999999999843,0.1496499999999984,40.0,60.0,0.5334000000000005,0.23780069385937422
0.082,41000,-0.01684390243902323,-0.15708780487804774,0.12279024390244031,42.0,57.99999999999999,0.5099853658536602,0.24035016043113902
0.084,42000,-0.030171428571429404,-0.1623142857142823,0.10851904761904757,40.0,60.0,0.4019714285714293,0.19276502185509042
0.086,43000,-0.0021813953488353244,-0.11032093023255751,0.19607441860465397,50.0,50.0,0.6664232558139527,0.23986806185010875
0.088,44000,0.004081818181819741,-0.17489545454545535,0.1728318181818192,50.0,50.0,0.6620363636363646,0.2379246175501046
0.09,45000,-0.013266666666666982,-0.1282666666666668,0.13062222222222364,48.0,52.0,0.5311777777777804,0.20940992347399118
0.092,46000,-0.04616521739130297,-0.16844782608695374,0.15329130434782873,42.0,57.99999999999999,-0.4809478260869582,0.20601641078391617
0.094,47000,-0.004259574468085114,-0.16489787234042347,0.12818723404255244,48.0,52.0,0.5882936170212794,0.2382253324621654
0.096,48000,-0.0036833333333319285,-0.19847499999999796,0.1697541666666677,48.0,52.0,-0.5495166666666662,0.22663334221944353
0.098,49000,0.023400000000001198,-0.17455918367346862,0.1315632653061241,52.0,48.0,-0.5204775510204096,0.22520479047075997
0.1,50000,-0.005599999999997274,-0.16409999999999758,0.08590000000000125,50.0,50.0,-0.45459999999999945,0.20266687938585348
0.102,51000,-0.008952941176471052,-0.06532549019608036,0.0773215686274531,48.0,52.0,0.5341843137254887,0.18712028870545652
0.104,52000,0.02243846153846263,-0.11313846153845897,0.17291923076923205,57.99999999999999,42.0,-0.47659999999999925,0.20218671931523
0.106,53000,0.007362264150945208,-0.16810943396226435,0.12717358490566127,52.0,48.0,-0.6567886792452848,0.23289405995273338
0.108,54000,0.05488148148148353,-0.05993333333333406,0.12108518518518518,62.0,38.0,0.5326592592592605,0.1971454812964538
0.11,55000,0.014309090909089828,-0.08250909090909142,0.15885454545454536,56.00000000000001,44.0,0.3861272727272713,0.1802590615092578
0.112,56000,-0.060528571428572486,-0.19624285714285872,0.14973928571428707,40.0,60.0,-0.39267142857142834,0.20023969641509196
0.114,57000,0.04708421052631584,-0.06870526315789494,0.12515438596491096,68.0,32.0,-0.34063508771929873,0.1710530900938521
0.116,58000,-0.0033241379310350316,-0.20677241379310207,0.0708137931034511,48.0,52.0,0.535468965517244,0.20025742636246377
0.118,59000,-0.052023728813560544,-0.1215152542372866,0.07001016949152727,36.0,64.0,0.44967118644068105,0.186397041703965
0.12,60000,-0.007433333333334291,-0.12159999999999949,0.1725666666666681,50.0,50.0,0.375066666666668,0.1779652587819692
0.122,61000,0.044711475409836554,-0.11799344262294897,0.20823606557376917,60.0,40.0,0.43897377049180175,0.20238409894167625
0.124,62000,-0.004019354838707967,-0.0895032258064532,0.07662580645161343,48.0,52.0,-0.5314387096774176,0.16289320301329088
0.126,63000,-0.06945714285714055,-0.13493333333333274,0.08728888888888814,42.0,57.99999999999999,0.4353047619047645,0.17826730450896192
0.128,64000,0.05933750000000071,-0.037928124999997426,0.1722281250000013,64.0,36.0,0.4890249999999985,0.17598153045845463
0.13,65000,-0.038138461538461677,-0.1512153846153816,0.09224615384615525,44.0,56.00000000000001,-0.49890769230769294,0.19695812728934403
0.132,66000,0.05294545454545552,-0.11561515151515128,0.12150606060606084,52.0,48.0,-0.33417575757575535,0.16412504147092488
0.134,67000,0.05474328358208991,-0.08518208955223677,0.1513850746268669,57.99999999999999,42.0,-0.4042119402985045,0.17414002045222407
0.136,68000,0.024870588235292868,-0.12365882352941143,0.10428235294117905,56.00000000000001,44.0,-0.37954117647058805,0.16824781668737693
0.138,69000,-0.04833913043478244,-0.133846376811593,0.07593623188405646,38.0,62.0,0.36325507246376953,0.1514085428616952
0.14,70000,-0.03517142857142885,-0.1505285714285723,0.11054285714285905,44.0,56.00000000000001,-0.40088571428571473,0.16424720293956113
0.142,71000,0.037484507042254145,-0.07976901408450476,0.10262535211267854,57.99999999999999,42.0,0.3734000000000015,0.1519712479984645
0.144,72000,0.04284444444444535,-0.050905555555556814,0.10812222222222334,62.0,38.0,0.38451111111111325,0.14413782241955775
0.146,73000,0.017920547945204923,-0.12180547945205428,0.12648219178082037,56.00000000000001,44.0,0.39257808219178014,0.15847668308146454
0.148,74000,0.01664324324324451,-0.07592432432432517,0.0811702702702699,57.99999999999999,42.0,0.3396162162162153,0.13567198670552885
0.15,75000,-0.02926666666666633,-0.10959999999999998,0.0637333333333337,38.0,62.0,-0.3799333333333321,0.16114062595550946
0.152,76000,-0.03515263157894688,-0.138113157894737,0.08458421052631865,36.0,64.0,-0.3660736842105272,0.16027044715944003
0.154,77000,0.0565168831168833,-0.06653506493506517,0.08541298701298938,62.0,38.0,-0.453872727272725,0.15408190309768
0.156,78000,0.017630769230769783,-0.08493333333333408,0.16698974358974328,56.00000000000001,44.0,0.41057948717948545,0.17184001312781752
0.158,79000,0.008210126582278154,-0.11425822784810052,0.14048860759493798,50.0,50.0,0.3366911392405081,0.1611716277773001
