n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.0015600000000000002,0.0,0.008,0.0,0
600,0.0014666666666666665,0.0,0.005,0.2,10
700,0.001885714285714286,0.0,0.007142857142857143,0.0,0
800,0.001675,0.0,0.00625,0.0,0
900,0.001444444444444444,0.0,0.005555555555555556,0.0,0
1000,0.00144,0.0,0.006,0.0,0
1100,0.0015636363636363636,0.0,0.006363636363636364,0.0,0
1200,0.0016666666666666668,0.0,0.004166666666666667,0.24,12
1300,0.0018153846153846156,0.0,0.005384615384615384,0.28,14
1400,0.001557142857142857,0.0,0.004285714285714286,0.0,0
1500,0.0012666666666666668,0.0,0.004,0.0,0
1600,0.0015000000000000002,0.0,0.00375,0.0,0
1700,0.0013999999999999998,0.0,0.0029411764705882353,0.0,0
1800,0.0015666666666666667,0.0005555555555555556,0.0044444444444444444,0.26,13
1900,0.0017578947368421054,0.0,0.005263157894736842,0.26,13
2000,0.0017000000000000001,0.0,0.0045,0.0,0
2100,0.0018952380952380954,0.0,0.0038095238095238095,0.0,0
2200,0.0016454545454545454,0.0,0.005,0.0,0
2300,0.0017217391304347829,0.0,0.0034782608695652175,0.0,0
2400,0.0015416666666666664,0.0,0.00375,0.2,10
2500,0.0015840000000000001,0.0004,0.004,0.24,12
2600,0.001553846153846154,0.0,0.0034615384615384616,0.18,9
2700,0.0015259259259259262,0.00037037037037037035,0.003703703703703704,0.0,0
2800,0.001642857142857143,0.0,0.0032142857142857142,0.0,0
2900,0.0017862068965517242,0.0003448275862068965,0.0034482758620689655,0.0,0
3000,0.00164,0.0003333333333333333,0.0036666666666666666,0.18,9
3100,0.001529032258064516,0.0003225806451612903,0.0032258064516129032,0.14,7
3200,0.0016374999999999998,0.0,0.0034375,0.12,6
3300,0.001618181818181818,0.00030303030303030303,0.0030303030303030303,0.0,0
3400,0.0016352941176470586,0.000588235294117647,0.003235294117647059,0.0,0
3500,0.001645714285714286,0.0005714285714285715,0.003142857142857143,0.0,0
3600,0.0014555555555555554,0.0002777777777777778,0.0033333333333333335,0.16,8
3700,0.0016432432432432434,0.0002702702702702703,0.002972972972972973,0.22,11
3800,0.0016157894736842104,0.0002631578947368421,0.003157894736842105,0.12,6
3900,0.001615384615384615,0.0005128205128205128,0.0033333333333333335,0.22,11
4000,0.0015600000000000002,0.0005,0.00325,0.0,0
4100,0.0016195121951219516,0.00024390243902439024,0.002926829268292683,0.0,0
4200,0.0016333333333333332,0.0004761904761904762,0.0033333333333333335,0.22,11
4300,0.001613953488372093,0.00046511627906976747,0.0034883720930232558,0.14,7
4400,0.00155,0.0006818181818181819,0.0027272727272727275,0.16,8
4500,0.0014577777777777779,0.00022222222222222223,0.003111111111111111,0.14,7
4600,0.0015521739130434783,0.0004347826086956522,0.003043478260869565,0.0,0
4700,0.001829787234042553,0.0006382978723404255,0.0031914893617021275,0.0,0
4800,0.0016208333333333335,0.0004166666666666667,0.0027083333333333334,0.1,5
4900,0.0015346938775510203,0.00040816326530612246,0.002857142857142857,0.16,8
5000,0.0016239999999999998,0.0006,0.003,0.06,3
5100,0.001611764705882353,0.000588235294117647,0.0033333333333333335,0.12,6
5200,0.0015576923076923077,0.0003846153846153846,0.003076923076923077,0.12,6
5300,0.0015811320754716982,0.0003773584905660377,0.002830188679245283,0.0,0
5400,0.0016333333333333332,0.0005555555555555556,0.0025925925925925925,0.06,3
5500,0.0016472727272727273,0.0007272727272727272,0.0030909090909090908,0.16,8
5600,0.0015321428571428571,0.0007142857142857143,0.0026785714285714286,0.16,8
5700,0.0016596491228070176,0.0005263157894736842,0.003157894736842105,0.1,5
5800,0.0017620689655172413,0.000689655172413793,0.002586206896551724,0.12,6
5900,0.0016440677966101697,0.0005084745762711864,0.0030508474576271187,0.0,0
6000,0.0015700000000000002,0.0008333333333333334,0.003,0.18,9
6100,0.0016491803278688524,0.0004918032786885246,0.0034426229508196723,0.12,6
6200,0.0015483870967741937,0.0008064516129032258,0.0032258064516129032,0.14,7
6300,0.0015333333333333336,0.0007936507936507937,0.0025396825396825397,0.08,4
6400,0.001584375,0.00078125,0.00265625,0.2,10
6500,0.0016523076923076923,0.00046153846153846153,0.0026153846153846153,0.28,14
6600,0.0016030303030303032,0.00030303030303030303,0.0028787878787878787,0.2,10
6700,0.0016238805970149254,0.0005970149253731343,0.0026865671641791043,0.1,5
6800,0.0015558823529411765,0.000588235294117647,0.003088235294117647,0.12,6
6900,0.0015855072463768116,0.0008695652173913044,0.002463768115942029,0.06,3
7000,0.0015,0.0005714285714285715,0.0025714285714285713,0.18,9
7100,0.001628169014084507,0.0005633802816901409,0.002676056338028169,0.24,12
7200,0.0017499999999999998,0.0006944444444444445,0.0030555555555555557,0.14,7
7300,0.0015178082191780822,0.00041095890410958907,0.002328767123287671,0.16,8
7400,0.001581081081081081,0.0004054054054054054,0.002702702702702703,0.04,2
7500,0.0016106666666666663,0.0008,0.0030666666666666668,0.14,7
7600,0.0015763157894736844,0.00013157894736842105,0.002763157894736842,0.16,8
7700,0.0014987012987012986,0.0005194805194805195,0.0027272727272727275,0.22,11
7800,0.001564102564102564,0.000641025641025641,0.0028205128205128207,0.22,11
7900,0.0015240506329113927,0.0008860759493670886,0.002278481012658228,0.2,10
8000,0.0016899999999999999,0.001,0.003,0.16,8
8100,0.0016864197530864198,0.0009876543209876543,0.0032098765432098763,0.1,5
8200,0.0015609756097560979,0.0004878048780487805,0.0021951219512195124,0.08,4
8300,0.0016313253012048196,0.0007228915662650603,0.0025301204819277107,0.24,12
8400,0.0016452380952380952,0.0007142857142857143,0.002619047619047619,0.22,11
8500,0.0015317647058823531,0.0008235294117647059,0.0027058823529411765,0.1,5
8600,0.0015255813953488377,0.0005813953488372093,0.002441860465116279,0.16,8
8700,0.0015954022988505748,0.000689655172413793,0.0026436781609195403,0.1,5
8800,0.001631818181818182,0.0006818181818181819,0.002840909090909091,0.04,2
8900,0.0016314606741573035,0.0007865168539325843,0.0024719101123595504,0.28,14
9000,0.0016066666666666666,0.0007777777777777777,0.002777777777777778,0.2,10
9100,0.0017406593406593407,0.000989010989010989,0.0035164835164835165,0.26,13
9200,0.0015456521739130433,0.0005434782608695652,0.0025,0.16,8
9300,0.0016107526881720432,0.0005376344086021505,0.002795698924731183,0.04,2
9400,0.001682978723404255,0.000851063829787234,0.0029787234042553193,0.14,7
9500,0.001703157894736842,0.0006315789473684211,0.002631578947368421,0.2,10
9600,0.0016645833333333332,0.0007291666666666667,0.003125,0.2,10
9700,0.0016680412371134021,0.0007216494845360825,0.00288659793814433,0.24,12
9800,0.0015979591836734694,0.0008163265306122449,0.0029591836734693877,0.14,7
9900,0.0015272727272727274,0.0007070707070707071,0.0024242424242424242,0.08,4
10000,0.0016339999999999998,0.0006,0.0026,0.06,3
10100,0.0015465346534653465,0.000693069306930693,0.002772277227722772,0.16,8
10200,0.0016058823529411764,0.000784313725490196,0.0024509803921568627,0.14,7
10300,0.0016563106796116506,0.0007766990291262136,0.002524271844660194,0.2,10
10400,0.0015384615384615385,0.000673076923076923,0.002692307692307692,0.14,7
10500,0.0015733333333333335,0.0005714285714285715,0.0026666666666666666,0.08,4
10600,0.001660377358490566,0.0008490566037735849,0.0029245283018867925,0.04,2
10700,0.0016224299065420562,0.0009345794392523365,0.0022429906542056075,0.08,4
10800,0.0016462962962962959,0.0007407407407407407,0.0023148148148148147,0.3,15
10900,0.0015669724770642204,0.0009174311926605505,0.0022935779816513763,0.28,14
11000,0.0016563636363636362,0.0009090909090909091,0.002818181818181818,0.2,10
11100,0.0015675675675675676,0.0007207207207207207,0.0023423423423423423,0.26,13
11200,0.0016589285714285712,0.0008928571428571428,0.0024107142857142856,0.04,2
11300,0.0016991150442477877,0.0008849557522123894,0.0025663716814159293,0.16,8
11400,0.0016070175438596492,0.0007017543859649122,0.002631578947368421,0.18,9
11500,0.0014834782608695652,0.0008695652173913044,0.002260869565217391,0.1,5
11600,0.0016931034482758622,0.0010344827586206897,0.0028448275862068967,0.18,9
11700,0.0016512820512820513,0.0009401709401709402,0.0028205128205128207,0.24,12
11800,0.0015728813559322036,0.000847457627118644,0.0022033898305084745,0.06,3
11900,0.0016134453781512603,0.0008403361344537816,0.002184873949579832,0.28,14
12000,0.001591666666666667,0.0006666666666666666,0.0025833333333333333,0.14,7
12100,0.0016264462809917354,0.0010743801652892562,0.002231404958677686,0.22,11
12200,0.0016311475409836065,0.0009016393442622951,0.0022950819672131148,0.14,7
12300,0.0016650406504065038,0.0011382113821138211,0.0026016260162601626,0.3,15
12400,0.0016016129032258067,0.0007258064516129033,0.0022580645161290325,0.2,10
12500,0.0015952,0.00104,0.00256,0.22,11
12600,0.0015650793650793652,0.0007142857142857143,0.0025396825396825397,0.14,7
12700,0.0015811023622047244,0.0009448818897637795,0.002204724409448819,0.16,8
12800,0.001665625,0.00109375,0.002421875,0.28,14
12900,0.0016139534883720932,0.0007751937984496124,0.002635658914728682,0.14,7
13000,0.0016476923076923081,0.001,0.002692307692307692,0.28,14
13100,0.0017587786259541985,0.0011450381679389313,0.0026717557251908397,0.22,11
13200,0.0015893939393939393,0.0009090909090909091,0.0021212121212121214,0.24,12
13300,0.001548872180451128,0.0006015037593984962,0.002406015037593985,0.12,6
13400,0.0015492537313432837,0.0007462686567164179,0.002164179104477612,0.16,8
13500,0.0016533333333333337,0.0008148148148148148,0.0027407407407407406,0.24,12
13600,0.0015897058823529412,0.0010294117647058824,0.0027205882352941174,0.2,10
13700,0.0016233576642335767,0.0008759124087591241,0.002116788321167883,0.24,12
13800,0.0016463768115942033,0.0010144927536231885,0.002391304347826087,0.14,7
13900,0.0017122302158273383,0.0011510791366906475,0.0023741007194244606,0.24,12
14000,0.0016971428571428571,0.0010714285714285715,0.0025714285714285713,0.12,6
14100,0.00159290780141844,0.0010638297872340426,0.002340425531914894,0.2,10
14200,0.001619718309859155,0.0009859154929577464,0.0022535211267605635,0.16,8
14300,0.001672727272727273,0.0009090909090909091,0.0025874125874125876,0.26,13
14400,0.0015875000000000004,0.0008333333333333334,0.0025,0.16,8
14500,0.0017117241379310346,0.000896551724137931,0.0026896551724137933,0.14,7
14600,0.0015095890410958906,0.0008904109589041096,0.002328767123287671,0.16,8
14700,0.0016639455782312925,0.0010884353741496598,0.002653061224489796,0.14,7
14800,0.0016810810810810812,0.0012162162162162162,0.002635135135135135,0.36,18
14900,0.0016120805369127516,0.0008053691275167785,0.0022818791946308723,0.12,6
