n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.09852,0.072,0.124,0.2,10
1500,0.09695999999999999,0.08,0.11666666666666667,0.48,24
2500,0.09701600000000003,0.0832,0.11,0.66,33
3500,0.09700000000000002,0.08742857142857142,0.10742857142857143,0.68,34
4500,0.09657333333333334,0.08711111111111111,0.10711111111111112,0.68,34
5500,0.09700727272727272,0.08854545454545455,0.104,0.64,32
6500,0.09680615384615385,0.08692307692307692,0.10246153846153847,0.84,42
7500,0.09695466666666666,0.09093333333333334,0.10586666666666666,0.9,45
8500,0.09637882352941178,0.0903529411764706,0.10305882352941176,0.94,47
9500,0.0959578947368421,0.08442105263157895,0.10273684210526315,0.9,45
10500,0.0966514285714286,0.09028571428571429,0.10295238095238095,0.84,42
11500,0.09687478260869563,0.08886956521739131,0.10295652173913043,0.88,44
12500,0.09741440000000001,0.09192,0.10176,0.96,48
13500,0.09720740740740741,0.09362962962962963,0.10296296296296296,0.96,48
14500,0.09651310344827584,0.09034482758620689,0.102,0.96,48
15500,0.09668774193548386,0.09212903225806451,0.10129032258064516,1.0,50
16500,0.09678787878787878,0.09236363636363637,0.10084848484848485,1.0,50
17500,0.09704914285714289,0.0924,0.10097142857142857,1.0,50
18500,0.09672216216216217,0.08994594594594595,0.10237837837837838,0.96,48
19500,0.09659076923076924,0.09276923076923077,0.10025641025641026,1.0,50
20500,0.09678243902439024,0.09195121951219512,0.10141463414634147,0.98,49
21500,0.09668279069767444,0.09274418604651163,0.1027906976744186,0.96,48
22500,0.09679022222222225,0.09248888888888888,0.10133333333333333,1.0,50
23500,0.0962,0.09217021276595745,0.10114893617021277,1.0,50
24500,0.09674530612244897,0.09261224489795919,0.10167346938775511,1.0,50
25500,0.09670901960784313,0.09262745098039216,0.10168627450980393,1.0,50
26500,0.09702188679245284,0.09271698113207547,0.10109433962264151,1.0,50
27500,0.09726036363636364,0.09316363636363637,0.1016,1.0,50
28500,0.09688280701754387,0.09403508771929825,0.09975438596491228,1.0,50
29500,0.09660271186440678,0.09322033898305085,0.10057627118644068,1.0,50
30500,0.09697770491803277,0.0940983606557377,0.10055737704918033,1.0,50
31500,0.09683365079365078,0.09406349206349206,0.10101587301587302,1.0,50
32500,0.09694276923076924,0.09341538461538461,0.10024615384615385,1.0,50
33500,0.09698268656716419,0.09420895522388059,0.09994029850746268,1.0,50
34500,0.09653217391304347,0.09217391304347826,0.10060869565217391,1.0,50
35500,0.09689521126760564,0.09309859154929577,0.09991549295774647,1.0,50
36500,0.09708876712328766,0.09405479452054795,0.09991780821917808,1.0,50
37500,0.09709013333333333,0.09362666666666666,0.10053333333333334,1.0,50
38500,0.09704623376623375,0.09412987012987013,0.09968831168831169,1.0,50
39500,0.09693468354430379,0.09384810126582278,0.10015189873417722,1.0,50
40500,0.09680740740740741,0.09451851851851852,0.09953086419753086,1.0,50
41500,0.09695614457831325,0.09385542168674699,0.0995421686746988,1.0,50
42500,0.09681270588235295,0.0924,0.10044705882352942,1.0,50
43500,0.0967944827586207,0.09413793103448276,0.09963218390804597,1.0,50
44500,0.09693528089887642,0.09462921348314607,0.10087640449438202,1.0,50
45500,0.09718241758241758,0.09382417582417582,0.10063736263736264,1.0,50
46500,0.09744731182795696,0.09483870967741935,0.10040860215053764,1.0,50
47500,0.09660884210526316,0.09421052631578947,0.09981052631578947,1.0,50
48500,0.09736618556701032,0.09503092783505154,0.10041237113402061,1.0,50
49500,0.09721373737373738,0.09452525252525253,0.09957575757575758,1.0,50
50500,0.09683524752475246,0.0945940594059406,0.09958415841584159,1.0,50
51500,0.09696815533980585,0.09407766990291262,0.09928155339805825,1.0,50
52500,0.09636914285714288,0.09304761904761905,0.09864761904761905,1.0,50
53500,0.09699065420560748,0.09480373831775701,0.09981308411214954,1.0,50
54500,0.09667449541284402,0.09411009174311927,0.09867889908256881,1.0,50
55500,0.0968392792792793,0.09403603603603604,0.0994054054054054,1.0,50
56500,0.09685840707964603,0.09486725663716813,0.0996637168141593,1.0,50
57500,0.09691756521739131,0.09424347826086957,0.09937391304347826,1.0,50
58500,0.09698871794871795,0.09464957264957265,0.0989059829059829,1.0,50
59500,0.09677042016806721,0.09329411764705882,0.1001344537815126,1.0,50
60500,0.09666776859504132,0.09436363636363636,0.09980165289256199,1.0,50
61500,0.09707999999999999,0.09421138211382114,0.09983739837398374,1.0,50
62500,0.09675231999999999,0.094336,0.099008,1.0,50
63500,0.0967436220472441,0.09491338582677165,0.0989763779527559,1.0,50
64500,0.09687441860465115,0.09457364341085271,0.09877519379844961,1.0,50
65500,0.09726870229007634,0.09485496183206107,0.10013740458015268,1.0,50
66500,0.09673593984962406,0.09368421052631579,0.09912781954887218,1.0,50
67500,0.09693748148148149,0.09484444444444444,0.09945185185185185,1.0,50
68500,0.09685693430656934,0.09496350364963503,0.10007299270072993,1.0,50
69500,0.0969191366906475,0.09499280575539569,0.09933812949640287,1.0,50
70500,0.09683914893617022,0.09377304964539007,0.09913475177304965,1.0,50
71500,0.09695608391608392,0.09420979020979021,0.09924475524475525,1.0,50
72500,0.0971023448275862,0.09484137931034482,0.09929655172413793,1.0,50
73500,0.09705986394557824,0.09507482993197279,0.09881632653061224,1.0,50
74500,0.09698684563758388,0.09448322147651007,0.09875167785234899,1.0,50
75500,0.09669403973509932,0.09503311258278145,0.09912582781456954,1.0,50
76500,0.0969288888888889,0.09473202614379085,0.0991764705882353,1.0,50
77500,0.09708619354838709,0.0948,0.09940645161290322,1.0,50
78500,0.09682726114649681,0.09429299363057325,0.09863694267515924,1.0,50
79500,0.09700201257861636,0.09513207547169811,0.09932075471698114,1.0,50
80500,0.09681863354037266,0.09520496894409938,0.09849689440993789,1.0,50
81500,0.09680907975460123,0.0950920245398773,0.09856441717791412,1.0,50
82500,0.09677915151515151,0.0944,0.0995878787878788,1.0,50
83500,0.09682107784431139,0.09458682634730539,0.10047904191616766,1.0,50
84500,0.09687905325443788,0.09507692307692307,0.09889940828402367,1.0,50
85500,0.09692912280701753,0.0952046783625731,0.0992280701754386,1.0,50
86500,0.09721063583815029,0.09512138728323699,0.10033526011560694,1.0,50
87500,0.09720182857142856,0.09500571428571429,0.09910857142857143,1.0,50
88500,0.09680045197740114,0.09474576271186441,0.09875706214689266,1.0,50
89500,0.09692022346368714,0.09391061452513967,0.09953072625698324,1.0,50
90500,0.09680618784530384,0.09418784530386741,0.098353591160221,1.0,50
91500,0.09681180327868852,0.09419672131147541,0.09883060109289618,1.0,50
92500,0.0967878918918919,0.09522162162162162,0.09848648648648649,1.0,50
93500,0.09692812834224598,0.09424598930481283,0.09905882352941177,1.0,50
94500,0.09699089947089946,0.09442328042328042,0.09907936507936507,1.0,50
95500,0.09677068062827225,0.0950890052356021,0.09916230366492147,1.0,50
96500,0.09696227979274613,0.09538860103626944,0.09826943005181348,1.0,50
97500,0.09682625641025641,0.0948,0.09874871794871795,1.0,50
98500,0.0970633502538071,0.09564467005076142,0.09876142131979695,1.0,50
99500,0.0970070351758794,0.09523618090452261,0.09981909547738693,1.0,50
100500,0.0969060696517413,0.0953134328358209,0.09881592039800995,1.0,50
101500,0.09697596059113298,0.09536945812807882,0.0993103448275862,1.0,50
102500,0.09688878048780487,0.09513170731707317,0.0986829268292683,1.0,50
103500,0.0969855072463768,0.0951207729468599,0.09871497584541063,1.0,50
104500,0.09685607655502391,0.09425837320574162,0.098688995215311,1.0,50
105500,0.09700625592417061,0.09495734597156398,0.09887203791469194,1.0,50
106500,0.09692450704225353,0.09510798122065728,0.09833802816901409,1.0,50
