n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.09748,0.072,0.118,0.2,10
1500,0.09933333333333333,0.08466666666666667,0.12466666666666666,0.44,22
2500,0.09638400000000001,0.0848,0.1064,0.64,32
3500,0.0972,0.086,0.108,0.54,27
4500,0.09720000000000001,0.08488888888888889,0.10733333333333334,0.64,32
5500,0.09717454545454546,0.08945454545454545,0.10472727272727272,0.86,43
6500,0.09782153846153846,0.08307692307692308,0.1056923076923077,0.7,35
7500,0.09720000000000001,0.09093333333333334,0.10653333333333333,0.88,44
8500,0.09705647058823531,0.088,0.10494117647058823,0.84,42
9500,0.09729473684210525,0.0876842105263158,0.1031578947368421,0.86,43
10500,0.09655428571428573,0.09057142857142857,0.10152380952380953,0.94,47
11500,0.09772,0.09130434782608696,0.10278260869565217,0.9,45
12500,0.0975856,0.09312,0.10232,0.98,49
13500,0.09656444444444444,0.09192592592592592,0.10377777777777777,0.96,48
14500,0.0970455172413793,0.09096551724137932,0.1036551724137931,0.9,45
15500,0.09766580645161291,0.09135483870967742,0.10212903225806452,0.96,48
16500,0.09696363636363634,0.09139393939393939,0.10321212121212121,0.94,47
17500,0.09685142857142855,0.09268571428571429,0.10177142857142857,1.0,50
18500,0.09676324324324324,0.09113513513513513,0.102,0.94,47
19500,0.09698153846153847,0.09225641025641025,0.10235897435897436,0.98,49
20500,0.09682829268292681,0.09434146341463415,0.09985365853658537,1.0,50
21500,0.09696651162790698,0.09148837209302325,0.10269767441860465,0.94,47
22500,0.09660177777777777,0.09204444444444444,0.10111111111111111,0.98,49
23500,0.09691489361702127,0.0932340425531915,0.10204255319148936,0.98,49
24500,0.09685714285714286,0.0913061224489796,0.102,0.96,48
25500,0.09744,0.09309803921568627,0.10133333333333333,1.0,50
26500,0.09699245283018869,0.09320754716981132,0.10056603773584906,1.0,50
27500,0.09687345454545455,0.09265454545454545,0.10065454545454545,1.0,50
28500,0.09715438596491228,0.09098245614035087,0.1007719298245614,0.98,49
29500,0.09689423728813558,0.09284745762711864,0.10128813559322034,1.0,50
30500,0.09722754098360654,0.09360655737704918,0.10068852459016393,1.0,50
31500,0.0967015873015873,0.09231746031746031,0.10047619047619048,1.0,50
32500,0.09727876923076924,0.094,0.10101538461538462,1.0,50
33500,0.09680298507462685,0.09256716417910447,0.09994029850746268,1.0,50
34500,0.09696521739130436,0.09292753623188406,0.10089855072463769,1.0,50
35500,0.09680225352112676,0.09307042253521126,0.0999718309859155,1.0,50
36500,0.09701205479452055,0.09375342465753425,0.10054794520547945,1.0,50
37500,0.09705333333333334,0.0936,0.10085333333333334,1.0,50
38500,0.09691064935064934,0.09361038961038962,0.1004935064935065,1.0,50
39500,0.09662632911392405,0.09354430379746835,0.10043037974683544,1.0,50
40500,0.09720345679012345,0.09362962962962963,0.10046913580246913,1.0,50
41500,0.09697445783132531,0.09445783132530121,0.10014457831325302,1.0,50
42500,0.09685035294117644,0.09247058823529412,0.09945882352941177,1.0,50
43500,0.09704045977011494,0.09422988505747126,0.09972413793103448,1.0,50
44500,0.0967923595505618,0.09417977528089888,0.10031460674157304,1.0,50
45500,0.09674725274725277,0.09402197802197802,0.09949450549450549,1.0,50
46500,0.09701462365591398,0.09387096774193548,0.10017204301075269,1.0,50
47500,0.0969018947368421,0.09343157894736842,0.10016842105263157,1.0,50
48500,0.09682680412371136,0.09350515463917526,0.09975257731958763,1.0,50
49500,0.09668646464646465,0.09470707070707071,0.09886868686868687,1.0,50
50500,0.09692356435643562,0.09362376237623762,0.09918811881188119,1.0,50
51500,0.09681514563106798,0.09425242718446603,0.10023300970873786,1.0,50
52500,0.09692495238095239,0.09443809523809524,0.09935238095238096,1.0,50
53500,0.09701046728971964,0.09461682242990654,0.10039252336448598,1.0,50
54500,0.09675522935779819,0.09355963302752293,0.0991559633027523,1.0,50
55500,0.09681693693693694,0.09475675675675675,0.09945945945945946,1.0,50
56500,0.0972208849557522,0.0951150442477876,0.10061946902654867,1.0,50
57500,0.09707269565217391,0.09516521739130435,0.09871304347826088,1.0,50
58500,0.09712581196581196,0.09406837606837606,0.09943589743589744,1.0,50
59500,0.0970144537815126,0.09357983193277311,0.09939495798319328,1.0,50
60500,0.09695173553719007,0.09436363636363636,0.09927272727272728,1.0,50
61500,0.09728943089430894,0.09455284552845529,0.1002439024390244,1.0,50
62500,0.09710336,0.094192,0.099984,1.0,50
63500,0.09704598425196849,0.09425196850393701,0.09930708661417323,1.0,50
64500,0.09692248062015503,0.09503875968992248,0.09893023255813954,1.0,50
65500,0.09708793893129769,0.09471755725190839,0.09946564885496183,1.0,50
66500,0.0968396992481203,0.09384962406015038,0.09906766917293233,1.0,50
67500,0.09722637037037037,0.09562962962962963,0.09937777777777777,1.0,50
68500,0.09681722627737227,0.09322627737226277,0.09906569343065694,1.0,50
69500,0.09670043165467627,0.09381294964028777,0.09910791366906475,1.0,50
70500,0.09676255319148935,0.09466666666666666,0.09883687943262412,1.0,50
71500,0.09705230769230772,0.09516083916083916,0.09931468531468532,1.0,50
72500,0.0969224827586207,0.09449655172413793,0.09873103448275862,1.0,50
73500,0.09686503401360542,0.09466666666666666,0.09903401360544217,1.0,50
74500,0.09677557046979868,0.09459060402684563,0.09970469798657718,1.0,50
75500,0.0969046357615894,0.09486092715231788,0.09997350993377484,1.0,50
76500,0.09704601307189543,0.09551633986928104,0.09947712418300654,1.0,50
77500,0.09702167741935484,0.09486451612903225,0.09908387096774193,1.0,50
78500,0.09695592356687899,0.09468789808917197,0.09870063694267515,1.0,50
79500,0.09712327044025157,0.09413836477987421,0.09916981132075471,1.0,50
80500,0.0968496894409938,0.09416149068322982,0.09893167701863353,1.0,50
81500,0.09680269938650309,0.09406134969325153,0.09852760736196318,1.0,50
82500,0.09701042424242426,0.09527272727272727,0.09938181818181818,1.0,50
83500,0.09690706586826348,0.09541317365269461,0.09901796407185628,1.0,50
84500,0.09705349112426037,0.09484023668639054,0.0991715976331361,1.0,50
85500,0.0972093567251462,0.09546198830409357,0.09893567251461988,1.0,50
86500,0.09671028901734102,0.09376878612716763,0.09885549132947977,1.0,50
87500,0.09708251428571428,0.09490285714285714,0.09979428571428571,1.0,50
88500,0.09698440677966103,0.09487005649717514,0.09821468926553673,1.0,50
89500,0.09692424581005586,0.0957877094972067,0.09858100558659218,1.0,50
90500,0.09691116022099448,0.09480662983425414,0.0990828729281768,1.0,50
91500,0.09704021857923499,0.09496174863387978,0.09937704918032787,1.0,50
92500,0.09698032432432432,0.0949945945945946,0.09961081081081082,1.0,50
93500,0.09671101604278075,0.09470588235294118,0.09851336898395723,1.0,50
94500,0.09691365079365079,0.09396825396825396,0.09847619047619048,1.0,50
95500,0.0968192670157068,0.09498429319371728,0.09943455497382199,1.0,50
96500,0.09687046632124352,0.09396891191709844,0.09871502590673575,1.0,50
97500,0.0968617435897436,0.09514871794871795,0.09877948717948717,1.0,50
98500,0.0968058883248731,0.09539086294416244,0.09858883248730964,1.0,50
99500,0.09679236180904523,0.09447236180904522,0.09850251256281407,1.0,50
100500,0.0968555223880597,0.09464676616915423,0.09895522388059702,1.0,50
101500,0.09699448275862067,0.09504433497536946,0.09851231527093596,1.0,50
102500,0.09677365853658536,0.09514146341463414,0.09859512195121951,1.0,50
103500,0.09692135265700483,0.09560386473429952,0.09863768115942029,1.0,50
104500,0.09674947368421054,0.09501435406698565,0.09830622009569379,1.0,50
105500,0.09696284360189572,0.09533649289099526,0.09833175355450237,1.0,50
106500,0.09692356807511737,0.09535211267605634,0.09854460093896714,1.0,50
107500,0.09683088372093021,0.09508837209302326,0.0982139534883721,1.0,50
108500,0.09679594470046084,0.09470046082949309,0.09844239631336406,1.0,50
109500,0.09696018264840182,0.09570776255707762,0.09858447488584475,1.0,50
110500,0.09687945701357467,0.09485067873303167,0.09904977375565611,1.0,50
111500,0.09701147982062781,0.09533632286995515,0.09945291479820628,1.0,50
112500,0.09701333333333333,0.09478222222222223,0.09893333333333333,1.0,50
113500,0.09685638766519825,0.0953568281938326,0.09872246696035242,1.0,50
