k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
999,501,0.09922179640718565,0.056,0.1277445109780439,0.18,9
998,502,0.0934131736526946,0.0718562874251497,0.12574850299401197,0.28,14
997,502,0.09463670269023705,0.0697211155378486,0.11377245508982035,0.32,16
996,503,0.09760956175298804,0.06772908366533864,0.12350597609561753,0.26,13
995,503,0.0951110864692324,0.07157057654075547,0.11553784860557768,0.4,20
994,504,0.09589865568493801,0.06746031746031746,0.1312127236580517,0.22,11
993,504,0.09400059957714033,0.05952380952380952,0.125,0.32,16
992,505,0.09753583215464401,0.07341269841269842,0.125,0.34,17
991,505,0.09573809523809523,0.06349206349206349,0.125,0.32,16
990,506,0.09796806637185458,0.07128712871287128,0.1306930693069307,0.32,16
989,506,0.09594427268813838,0.07509881422924901,0.12450592885375494,0.28,14
988,507,0.09453773651098069,0.07114624505928854,0.1383399209486166,0.32,16
987,507,0.09521895050323145,0.07114624505928854,0.1225296442687747,0.3,15
986,508,0.10049286368789699,0.07100591715976332,0.1242603550295858,0.32,16
985,508,0.09593618475205394,0.07283464566929133,0.13806706114398423,0.3,15
984,509,0.10024565691567533,0.07480314960629922,0.1377952755905512,0.3,15
983,509,0.0950885633401915,0.0550098231827112,0.12966601178781925,0.2,10
982,510,0.09750175276397394,0.07269155206286837,0.12180746561886051,0.26,13
981,510,0.09809453368773836,0.06679764243614932,0.14145383104125736,0.24,12
980,511,0.0970367982809562,0.06862745098039216,0.12352941176470589,0.26,13
979,511,0.09641640765895397,0.07240704500978473,0.12133072407045009,0.32,16
977,512,0.09900761374755383,0.07421875,0.125,0.38,19
978,512,0.09263790362035225,0.05859375,0.1171875,0.28,14
975,513,0.09594831262183239,0.0682261208576998,0.123046875,0.22,11
976,513,0.0986149183723197,0.07212475633528265,0.13671875,0.4,20
974,514,0.10058054778103928,0.07782101167315175,0.1364522417153996,0.28,14
973,514,0.09538982562328865,0.06614785992217899,0.12062256809338522,0.3,15
972,515,0.09803906161459709,0.07587548638132295,0.14202334630350194,0.3,15
971,515,0.09445430848853464,0.07184466019417475,0.12062256809338522,0.26,13
970,516,0.09631376533453752,0.06990291262135923,0.12596899224806202,0.4,20
969,516,0.09531376533453752,0.06589147286821706,0.14147286821705427,0.38,19
968,517,0.09780404240325069,0.06963249516441006,0.12572533849129594,0.36,18
967,518,0.09619896492236918,0.05405405405405406,0.1276595744680851,0.34,17
966,518,0.09643727175642068,0.06756756756756757,0.11798839458413926,0.3,15
965,519,0.09724752828799071,0.07142857142857142,0.12548262548262548,0.34,17
964,519,0.09326608193660217,0.06936416184971098,0.1233140655105973,0.34,17
962,520,0.10102645620275678,0.07115384615384615,0.13102119460500963,0.28,14
963,520,0.09386838594931081,0.05394990366088632,0.11560693641618497,0.22,11
