n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.004520000000000001,0.0,0.012,0.0,0
1500,0.0038533333333333336,0.0013333333333333333,0.006,0.0,0
2500,0.004528,0.0008,0.008,0.1,5
3500,0.004342857142857143,0.0025714285714285713,0.007142857142857143,0.2,10
4500,0.004319999999999999,0.0017777777777777779,0.006888888888888889,0.08,4
5500,0.004425454545454545,0.0027272727272727275,0.006363636363636364,0.16,8
6500,0.004378461538461538,0.0024615384615384616,0.007076923076923077,0.12,6
7500,0.004352,0.0030666666666666668,0.0061333333333333335,0.2,10
8500,0.004312941176470588,0.0029411764705882353,0.00611764705882353,0.16,8
9500,0.004452631578947368,0.0030526315789473684,0.005894736842105263,0.2,10
10500,0.004411428571428571,0.003142857142857143,0.006095238095238095,0.3,15
11500,0.00427304347826087,0.002956521739130435,0.005565217391304348,0.3,15
12500,0.0043728,0.00344,0.00608,0.24,12
13500,0.00437925925925926,0.003259259259259259,0.0057777777777777775,0.3,15
14500,0.004344827586206896,0.003103448275862069,0.005103448275862069,0.28,14
15500,0.004352258064516129,0.0032903225806451613,0.005870967741935484,0.38,19
16500,0.004363636363636364,0.00296969696969697,0.005212121212121212,0.3,15
17500,0.004370285714285715,0.003085714285714286,0.005714285714285714,0.3,15
18500,0.0044270270270270265,0.0034054054054054052,0.005459459459459459,0.34,17
19500,0.004433846153846153,0.0034871794871794873,0.005384615384615384,0.38,19
20500,0.004430243902439025,0.0035609756097560977,0.005365853658536586,0.3,15
21500,0.004327441860465116,0.0035348837209302326,0.005720930232558139,0.34,17
22500,0.004472888888888889,0.0033333333333333335,0.005244444444444445,0.2,10
23500,0.00441531914893617,0.003148936170212766,0.005404255319148936,0.36,18
24500,0.004380408163265306,0.0034693877551020408,0.005142857142857143,0.3,15
25500,0.004294117647058823,0.0036862745098039215,0.005254901960784313,0.42,21
26500,0.004400754716981131,0.0036226415094339623,0.0052452830188679245,0.4,20
27500,0.004349090909090908,0.0034545454545454545,0.005309090909090909,0.36,18
28500,0.00428421052631579,0.0031228070175438596,0.005228070175438596,0.34,17
29500,0.004482033898305085,0.0036949152542372883,0.005220338983050847,0.42,21
30500,0.004342295081967213,0.0035081967213114753,0.005147540983606557,0.54,27
31500,0.004403174603174602,0.003777777777777778,0.0054603174603174605,0.4,20
32500,0.0043667692307692305,0.003630769230769231,0.005323076923076923,0.56,28
33500,0.004383283582089552,0.003582089552238806,0.005104477611940298,0.5,25
34500,0.004374492753623188,0.0036521739130434784,0.0052173913043478265,0.5,25
