k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
992,505,0.23198412698412696,0.2003968253968254,0.2638888888888889,0.66,33
982,510,0.2323236642397627,0.18467583497053044,0.26719056974459726,0.48,24
972,515,0.22608454535151673,0.1867704280155642,0.27431906614785995,0.46,23
962,520,0.23430554320438715,0.19653179190751446,0.2658959537572254,0.48,24
952,526,0.2291901502806446,0.18857142857142858,0.26095238095238094,0.52,26
942,531,0.23600014213125825,0.17547169811320754,0.2806026365348399,0.46,23
932,537,0.23043400316851495,0.2011173184357542,0.28544776119402987,0.46,23
922,543,0.23080868211997035,0.18968692449355432,0.26752767527675275,0.48,24
912,549,0.23502738888224112,0.18761384335154827,0.2737226277372263,0.44,22
902,555,0.23274953654015026,0.19855595667870035,0.2779783393501805,0.46,23
892,561,0.2302915075120958,0.1889483065953654,0.27450980392156865,0.38,19
882,567,0.23171362511762983,0.1781305114638448,0.2716049382716049,0.4,20
872,574,0.23594371575727724,0.19895287958115182,0.2735191637630662,0.54,27
862,581,0.2323289809484243,0.20172413793103447,0.2672413793103448,0.56,28
852,587,0.23461122965736578,0.20954003407155025,0.262350936967632,0.56,28
842,594,0.23693409644505767,0.1919191919191919,0.28114478114478114,0.5,25
832,601,0.23052390460343875,0.19966722129783693,0.281198003327787,0.5,25
822,609,0.23196957912021435,0.18914473684210525,0.2598684210526316,0.5,25
812,616,0.23246568472178225,0.20292207792207792,0.27435064935064934,0.52,26
802,624,0.2305989422562456,0.20192307692307693,0.25961538461538464,0.58,29
792,632,0.231774007502658,0.18700475435816163,0.26424050632911394,0.48,24
782,640,0.23616255868544606,0.19718309859154928,0.2703125,0.58,29
772,648,0.2308891941916156,0.19907407407407407,0.25925925925925924,0.7,35
762,657,0.2326824627835319,0.20426829268292682,0.29573170731707316,0.44,22
752,665,0.23732181357006973,0.19548872180451127,0.26766917293233083,0.46,23
742,674,0.22999029986640265,0.19287833827893175,0.2789317507418398,0.58,29
732,684,0.23205174967677858,0.20029239766081872,0.2679355783308931,0.5,25
722,693,0.231773140154643,0.18497109826589594,0.2745664739884393,0.62,31
