n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.00572,0.0,0.012,0.24,12
1500,0.005973333333333334,0.0026666666666666666,0.014,0.1,5
2500,0.005792,0.0024,0.01,0.34,17
3500,0.005754285714285714,0.0037142857142857142,0.009142857142857144,0.26,13
4500,0.005782222222222222,0.003777777777777778,0.008444444444444444,0.22,11
5500,0.0059345454545454545,0.004,0.008181818181818182,0.2,10
6500,0.005664615384615383,0.0036923076923076922,0.007230769230769231,0.2,10
7500,0.005538666666666667,0.0038666666666666667,0.007866666666666666,0.22,11
8500,0.00575764705882353,0.00411764705882353,0.007647058823529412,0.36,18
9500,0.0056252631578947365,0.004526315789473684,0.00831578947368421,0.3,15
10500,0.005771428571428571,0.004380952380952381,0.007523809523809524,0.32,16
11500,0.0057495652173913045,0.00391304347826087,0.0076521739130434785,0.28,14
12500,0.0056368,0.00416,0.0076,0.32,16
13500,0.0058000000000000005,0.004222222222222222,0.007185185185185185,0.38,19
14500,0.005797241379310345,0.004620689655172414,0.0075172413793103444,0.4,20
15500,0.005890322580645161,0.004580645161290323,0.007225806451612903,0.42,21
16500,0.005918787878787879,0.0047272727272727275,0.007575757575757576,0.44,22
17500,0.00588,0.004514285714285715,0.007371428571428571,0.42,21
18500,0.0057729729729729725,0.004378378378378379,0.006918918918918919,0.38,19
19500,0.005716923076923077,0.004666666666666667,0.006871794871794872,0.42,21
20500,0.005746341463414635,0.004585365853658536,0.006731707317073171,0.5,25
21500,0.00576093023255814,0.004930232558139535,0.006837209302325582,0.34,17
22500,0.005804444444444445,0.004577777777777778,0.006933333333333333,0.54,27
23500,0.005764255319148937,0.00425531914893617,0.006765957446808511,0.36,18
24500,0.005755918367346938,0.0049387755102040815,0.0067346938775510205,0.38,19
25500,0.005716078431372549,0.004666666666666667,0.006941176470588235,0.38,19
26500,0.005747924528301886,0.004867924528301887,0.006641509433962264,0.46,23
27500,0.005792,0.004618181818181818,0.0069454545454545455,0.52,26
28500,0.005776140350877193,0.004947368421052632,0.006666666666666667,0.5,25
29500,0.005809491525423729,0.005050847457627118,0.006474576271186441,0.38,19
30500,0.005906229508196721,0.005049180327868852,0.007213114754098361,0.42,21
31500,0.005723174603174603,0.004888888888888889,0.006634920634920635,0.48,24
32500,0.005884307692307693,0.0048,0.006892307692307692,0.58,29
33500,0.0057814925373134325,0.005074626865671642,0.006716417910447761,0.62,31
34500,0.0057866666666666665,0.004869565217391304,0.006666666666666667,0.38,19
35500,0.005857464788732394,0.0049577464788732395,0.006816901408450704,0.56,28
36500,0.005847123287671233,0.004958904109589041,0.006986301369863014,0.46,23
37500,0.005798933333333334,0.004826666666666667,0.006693333333333333,0.64,32
38500,0.0057890909090909095,0.004987012987012987,0.006935064935064935,0.44,22
39500,0.005701772151898735,0.005063291139240506,0.006379746835443038,0.62,31
40500,0.00568641975308642,0.005111111111111111,0.006296296296296296,0.6,30
41500,0.005688192771084337,0.004987951807228916,0.006337349397590362,0.62,31
42500,0.0057322352941176465,0.005035294117647059,0.006635294117647059,0.58,29
43500,0.005784827586206896,0.004620689655172414,0.00664367816091954,0.6,30
44500,0.00584314606741573,0.005033707865168539,0.0067640449438202245,0.66,33
45500,0.005756923076923077,0.004967032967032967,0.006373626373626374,0.6,30
46500,0.005817634408602149,0.004967741935483871,0.0064301075268817206,0.58,29
47500,0.005788631578947368,0.005073684210526316,0.006442105263157895,0.58,29
48500,0.005743505154639176,0.005195876288659793,0.006556701030927835,0.66,33
49500,0.0058210101010101,0.005111111111111111,0.006626262626262626,0.6,30
50500,0.005812673267326732,0.005207920792079208,0.006475247524752475,0.7,35
51500,0.005787961165048544,0.005067961165048544,0.006737864077669903,0.64,32
52500,0.005816761904761905,0.005276190476190476,0.0067809523809523806,0.74,37
53500,0.005804859813084112,0.005158878504672897,0.006485981308411215,0.68,34
54500,0.00579743119266055,0.005211009174311927,0.006385321100917431,0.66,33
55500,0.005860900900900901,0.0052612612612612615,0.006648648648648649,0.6,30
56500,0.005848495575221238,0.0052035398230088495,0.006530973451327434,0.76,38
57500,0.005880347826086957,0.0052173913043478265,0.006730434782608695,0.58,29
58500,0.00576068376068376,0.0049743589743589745,0.006615384615384615,0.62,31
59500,0.005839663865546218,0.0050084033613445374,0.006369747899159664,0.72,36
60500,0.005764297520661158,0.005024793388429752,0.006512396694214876,0.68,34
61500,0.005846504065040652,0.005365853658536586,0.006617886178861789,0.74,37
62500,0.005755199999999999,0.005168,0.006192,0.78,39
63500,0.005799685039370078,0.005070866141732283,0.00658267716535433,0.72,36
64500,0.005746666666666666,0.00510077519379845,0.006449612403100775,0.74,37
