n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.0015600000000000002,0.0,0.008,0.0,0
1500,0.0014399999999999999,0.0,0.0033333333333333335,0.0,0
2500,0.0015199999999999999,0.0,0.0032,0.24,12
3500,0.0016857142857142854,0.0005714285714285715,0.002857142857142857,0.0,0
4500,0.0016,0.00044444444444444447,0.0035555555555555557,0.14,7
5500,0.0016763636363636366,0.0007272727272727272,0.0032727272727272726,0.12,6
6500,0.0016246153846153847,0.0006153846153846154,0.002923076923076923,0.32,16
7500,0.0016346666666666669,0.0009333333333333333,0.002266666666666667,0.14,7
8500,0.0015999999999999999,0.0008235294117647059,0.0025882352941176473,0.08,4
9500,0.0016294736842105265,0.0006315789473684211,0.003368421052631579,0.18,9
10500,0.0016247619047619047,0.00028571428571428574,0.002285714285714286,0.1,5
11500,0.0016504347826086956,0.0010434782608695651,0.0025217391304347826,0.24,12
12500,0.0015264,0.00088,0.00224,0.1,5
13500,0.001614814814814815,0.0005925925925925926,0.0022222222222222222,0.22,11
14500,0.0016496551724137934,0.0009655172413793104,0.002413793103448276,0.12,6
15500,0.0016967741935483868,0.000967741935483871,0.0026451612903225807,0.34,17
16500,0.0016315151515151516,0.001090909090909091,0.002181818181818182,0.18,9
17500,0.001692571428571429,0.0009714285714285714,0.002514285714285714,0.2,10
18500,0.0016324324324324324,0.0008108108108108108,0.0022162162162162164,0.26,13
19500,0.0016143589743589746,0.0009743589743589744,0.002307692307692308,0.28,14
20500,0.001571707317073171,0.0010731707317073172,0.0021951219512195124,0.12,6
21500,0.001652093023255814,0.0011627906976744186,0.002325581395348837,0.28,14
22500,0.0016684444444444446,0.0011111111111111111,0.0022222222222222222,0.26,13
23500,0.0015829787234042552,0.0009787234042553192,0.0022127659574468087,0.34,17
24500,0.001543673469387755,0.0010204081632653062,0.002163265306122449,0.24,12
25500,0.0016188235294117648,0.001176470588235294,0.00207843137254902,0.24,12
26500,0.00161811320754717,0.0011320754716981133,0.002,0.22,11
27500,0.0015978181818181816,0.001090909090909091,0.0020727272727272725,0.32,16
28500,0.0016203508771929825,0.0012982456140350877,0.001894736842105263,0.3,15
29500,0.0016216949152542373,0.0011864406779661016,0.002033898305084746,0.2,10
30500,0.0016268852459016398,0.0011147540983606557,0.002163934426229508,0.26,13
31500,0.001594285714285714,0.001142857142857143,0.0020952380952380953,0.24,12
32500,0.0016412307692307692,0.0012307692307692308,0.002030769230769231,0.3,15
33500,0.0016143283582089555,0.0012238805970149255,0.0021492537313432835,0.38,19
34500,0.0016115942028985509,0.0012463768115942029,0.002028985507246377,0.38,19
35500,0.0016123943661971827,0.0011267605633802818,0.002,0.44,22
36500,0.0016230136986301374,0.001315068493150685,0.002,0.24,12
37500,0.001592,0.0012266666666666667,0.0020533333333333332,0.34,17
38500,0.0016420779220779219,0.0011948051948051947,0.002025974025974026,0.38,19
39500,0.0016288607594936708,0.001240506329113924,0.0019746835443037974,0.22,11
40500,0.0016212345679012348,0.0011111111111111111,0.002074074074074074,0.34,17
41500,0.0015995180722891567,0.0011566265060240963,0.002192771084337349,0.42,21
