k,n,ro_mean,ro_min,ro_max,valid_rate,valid_count
992,505,0.14345238095238094,0.0992063492063492,0.1746031746031746,0.44,22
982,510,0.1423628799260372,0.11787819253438114,0.1787819253438114,0.28,14
972,515,0.14671912659136413,0.11867704280155641,0.18482490272373542,0.26,13
962,520,0.14563583815028902,0.10192307692307692,0.17884615384615385,0.36,18
952,526,0.14433329712112986,0.10285714285714286,0.17714285714285713,0.52,26
942,531,0.14887744732260244,0.11886792452830189,0.1902071563088512,0.4,20
932,537,0.14414060980016122,0.11753731343283583,0.19402985074626866,0.36,18
922,543,0.14658321610840416,0.11233885819521179,0.17343173431734318,0.42,21
912,549,0.1483296770505099,0.11496350364963503,0.20036429872495445,0.36,18
902,555,0.1396158974859336,0.11531531531531532,0.1624548736462094,0.36,18
892,561,0.14291927680162975,0.11428571428571428,0.18571428571428572,0.26,13
882,567,0.14932382323430615,0.1164021164021164,0.19047619047619047,0.22,11
872,574,0.1446008841539425,0.11846689895470383,0.18815331010452963,0.4,20
862,581,0.144161849367915,0.1103448275862069,0.1724137931034483,0.34,17
852,587,0.14317150316004906,0.10391822827938671,0.17546848381601363,0.44,22
842,594,0.1476517848524594,0.11616161616161616,0.18381112984822934,0.38,19
832,601,0.14522989462007763,0.1048252911813644,0.17470881863560733,0.44,22
822,609,0.14550800492610838,0.1116584564860427,0.17434210526315788,0.38,19
812,616,0.14426934853764123,0.11525974025974026,0.16910569105691056,0.38,19
802,624,0.14301019673210683,0.11858974358974358,0.17014446227929375,0.44,22
792,632,0.14718635278541192,0.11410459587955626,0.1787974683544304,0.28,14
782,640,0.1460677327856025,0.12050078247261346,0.17683881064162754,0.36,18
772,648,0.14557888259202018,0.11265432098765432,0.17746913580246915,0.38,19
762,657,0.1440456899432008,0.11432926829268293,0.1780821917808219,0.34,17
752,665,0.1449196032249298,0.12481203007518797,0.17443609022556392,0.6,30
742,674,0.14420540473807436,0.1142433234421365,0.17804154302670624,0.38,19
732,684,0.14599406642521384,0.1171303074670571,0.18301610541727673,0.56,28
722,693,0.1435289726330189,0.10838150289017341,0.17196531791907516,0.4,20
712,703,0.14472099629994367,0.10953058321479374,0.18945868945868946,0.44,22
702,713,0.14659726271333345,0.11797752808988764,0.19775596072931276,0.4,20
692,723,0.14605621391325005,0.11634349030470914,0.1731301939058172,0.3,15
682,734,0.14658805773741596,0.11716621253405994,0.17053206002728513,0.4,20
672,745,0.14768016165115103,0.12231182795698925,0.17473118279569894,0.5,25
662,756,0.1466474999124006,0.12698412698412698,0.16423841059602648,0.5,25
652,767,0.14612147289803615,0.12255541069100391,0.1694915254237288,0.48,24
642,779,0.1451750480973894,0.11424903722721438,0.17073170731707318,0.42,21
632,792,0.14645139766821183,0.11883691529709228,0.18331226295828065,0.38,19
622,804,0.1427391064602269,0.10585305105853052,0.1654228855721393,0.32,16
612,817,0.14648714810281518,0.12607099143206854,0.1689106487148103,0.46,23
602,831,0.1440675916663042,0.12409638554216867,0.17448856799037304,0.5,25
592,845,0.14287279508679437,0.12085308056872038,0.17298578199052134,0.44,22
582,860,0.14530524947884235,0.11757857974388825,0.1781140861466822,0.46,23
572,875,0.14601399150049038,0.11670480549199085,0.18057142857142858,0.56,28
562,890,0.1439496214658561,0.1101123595505618,0.1707865168539326,0.46,23
552,906,0.14772461063749345,0.12362030905077263,0.17439293598233996,0.48,24
542,923,0.1451424784314094,0.11592632719393282,0.1722643553629469,0.44,22
532,940,0.14257421883851087,0.1148936170212766,0.17553191489361702,0.52,26
522,958,0.14516905430374583,0.12943632567849686,0.16805845511482254,0.44,22
512,977,0.14665197073678204,0.12192622950819672,0.1711065573770492,0.46,23
502,997,0.1457028112449799,0.1214859437751004,0.1706827309236948,0.46,23
492,1017,0.14331871956270953,0.12094395280235988,0.16929133858267717,0.54,27
482,1038,0.1454100961904709,0.11475409836065574,0.18225650916104147,0.52,26
472,1060,0.14577068077752242,0.11614730878186968,0.1671388101983003,0.34,17
462,1083,0.14313475097413736,0.11182994454713494,0.17359187442289936,0.38,19
452,1107,0.14265290253866975,0.12556458897922312,0.16365280289330922,0.52,26
442,1132,0.14602967135622186,0.11052166224580018,0.17329796640141468,0.4,20
432,1158,0.146108765000306,0.12176165803108809,0.16853932584269662,0.68,34
422,1185,0.14755811666096474,0.12742616033755275,0.18143459915611815,0.66,33
412,1214,0.14449812642012466,0.12520593080724876,0.1672158154859967,0.58,29
402,1244,0.14473448740600092,0.1157556270096463,0.17282958199356913,0.52,26
392,1276,0.1474682279181265,0.12460815047021943,0.16222570532915362,0.48,24
382,1309,0.14665773064855633,0.1306340718105424,0.16042780748663102,0.66,33
372,1345,0.1459292573906886,0.12713754646840147,0.17336309523809523,0.6,30
362,1382,0.14505783996370003,0.13178855901520636,0.16799420709630702,0.48,24
352,1421,0.14412964486425944,0.1288732394366197,0.16396903589021816,0.58,29
342,1462,0.14321477428180576,0.12243502051983585,0.16210670314637482,0.54,27
332,1507,0.14505588352187357,0.1301460823373174,0.16268260292164674,0.48,24
322,1553,0.14529691451862375,0.12298776561493883,0.16806181584030908,0.54,27
312,1603,0.14430961609902782,0.1229712858926342,0.16219588271990018,0.74,37
302,1656,0.14498676240932906,0.13285024154589373,0.1661631419939577,0.74,37
292,1713,0.14659559798353436,0.1261682242990654,0.1640396964389959,0.66,33
282,1774,0.1462235104927921,0.1314156796390299,0.16243654822335024,0.7,35
272,1839,0.14471630569909252,0.12833061446438282,0.1632208922742111,0.66,33
262,1909,0.1460477897370175,0.12526205450733752,0.1639601885804086,0.56,28
252,1985,0.14843090314455187,0.12903225806451613,0.1677581863979849,0.52,26
242,2067,0.14506552279844942,0.12487899322362052,0.15972894482090996,0.58,29
232,2156,0.14662439681630932,0.13225058004640372,0.16241299303944315,0.62,31
222,2253,0.14499493866082644,0.12522202486678508,0.1669626998223801,0.6,30
212,2359,0.14343359001546424,0.13104325699745548,0.16913946587537093,0.68,34
202,2476,0.14648031853266102,0.13454545454545455,0.162020202020202,0.76,38
192,2605,0.14656876914594702,0.13402457757296468,0.1586021505376344,0.76,38
182,2748,0.1450609053995122,0.13100436681222707,0.15871860211139424,0.74,37
172,2907,0.14533393183645998,0.13347093223254214,0.16167870657034744,0.84,42
162,3087,0.14583672965529143,0.13415424497731693,0.1577583414318108,0.84,42
152,3290,0.14490430383677377,0.13495440729483282,0.16291793313069908,0.82,41
142,3522,0.144648828050598,0.12720045428733673,0.15819369497301902,0.74,37
132,3788,0.14531770863976662,0.12909186906019007,0.16341077085533262,0.82,41
122,4099,0.14533878860334584,0.13393510612344475,0.1595511100268358,0.8,40
112,4465,0.14530892806254944,0.13485663082437277,0.15431131019036953,0.82,41
102,4902,0.1451337885481368,0.13627090983272133,0.15565075479396165,0.96,48
92,5435,0.14522507676800034,0.13415531836584468,0.15642252484357747,0.88,44
82,6098,0.14552274685951985,0.1362741882584454,0.154312889471958,0.86,43
72,6945,0.14577788035021716,0.13851691864650828,0.1560835133189345,0.98,49
62,8065,0.14617887679715408,0.13713577185368878,0.15536267823930563,0.9,45
52,9616,0.14571829062846375,0.1345813832553302,0.15068635607321132,0.96,48
42,11905,0.14600807764086654,0.14002519949601008,0.15254094918101638,1.0,50
32,15625,0.14541184000000001,0.140288,0.150912,1.0,50
22,22728,0.1458741838200193,0.1393936727240727,0.15034980419765037,1.0,50
12,41667,0.145720967716634,0.14373485012119902,0.1478183650938415,1.0,50
2,250000,0.14552775999999998,0.145516,0.145544,1.0,50
