n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.09699999999999999,0.072,0.152,0.28,14
1500,0.09698666666666667,0.07733333333333334,0.12,0.56,28
2500,0.0964,0.0804,0.1096,0.6,30
3500,0.09642857142857145,0.08628571428571429,0.10685714285714286,0.62,31
4500,0.09755111111111113,0.08488888888888889,0.10644444444444444,0.72,36
5500,0.0956109090909091,0.08636363636363636,0.10436363636363637,0.7,35
6500,0.09699076923076923,0.08953846153846154,0.106,0.78,39
7500,0.096024,0.09,0.104,0.78,39
8500,0.09720000000000001,0.08741176470588236,0.10341176470588236,0.88,44
9500,0.09690526315789474,0.08852631578947369,0.10673684210526316,0.8,40
10500,0.09691619047619048,0.09076190476190477,0.1039047619047619,0.9,45
11500,0.09723304347826087,0.09139130434782608,0.10356521739130435,0.94,47
12500,0.09781279999999999,0.08832,0.10376,0.9,45
13500,0.09669333333333333,0.0917037037037037,0.1022962962962963,0.92,46
14500,0.09659034482758623,0.092,0.10206896551724139,0.94,47
15500,0.09708387096774192,0.09090322580645162,0.10187096774193548,0.94,47
16500,0.09650545454545455,0.09127272727272727,0.10175757575757576,0.94,47
17500,0.09718399999999999,0.0932,0.10057142857142858,1.0,50
18500,0.09757405405405407,0.09324324324324325,0.10081081081081081,1.0,50
19500,0.09684820512820513,0.09133333333333334,0.10082051282051283,0.96,48
20500,0.09666731707317072,0.0933170731707317,0.10048780487804879,1.0,50
21500,0.09706232558139534,0.09186046511627907,0.1010232558139535,0.98,49
22500,0.09680355555555555,0.09266666666666666,0.10128888888888889,1.0,50
23500,0.09673276595744681,0.09229787234042554,0.10021276595744681,1.0,50
24500,0.09685551020408162,0.09493877551020408,0.0986530612244898,1.0,50
25500,0.0974949019607843,0.09101960784313726,0.10156862745098039,0.98,49
26500,0.09687849056603774,0.09332075471698113,0.1000377358490566,1.0,50
27500,0.09674254545454546,0.09236363636363637,0.10065454545454545,1.0,50
28500,0.09695929824561404,0.09280701754385964,0.10178947368421053,0.98,49
29500,0.09657491525423731,0.09274576271186441,0.09935593220338983,1.0,50
30500,0.0969160655737705,0.09442622950819672,0.09944262295081967,1.0,50
31500,0.09700380952380953,0.0933968253968254,0.10053968253968254,1.0,50
32500,0.09681292307692307,0.09461538461538462,0.09938461538461539,1.0,50
33500,0.09691223880597014,0.09376119402985075,0.10232835820895522,0.98,49
34500,0.09708463768115942,0.09428985507246376,0.09968115942028985,1.0,50
35500,0.09694309859154929,0.09498591549295775,0.10050704225352113,1.0,50
36500,0.09685863013698631,0.09427397260273973,0.10032876712328767,1.0,50
37500,0.09723626666666668,0.09370666666666666,0.10005333333333333,1.0,50
38500,0.09693194805194807,0.09407792207792208,0.10028571428571428,1.0,50
39500,0.09698683544303797,0.09389873417721518,0.10121518987341772,1.0,50
40500,0.09662518518518519,0.09437037037037037,0.09911111111111111,1.0,50
41500,0.09703228915662651,0.09513253012048192,0.09966265060240964,1.0,50
42500,0.09750352941176471,0.09303529411764706,0.10188235294117647,0.98,49
43500,0.09731862068965519,0.0932183908045977,0.10018390804597702,1.0,50
44500,0.09713213483146067,0.09397752808988764,0.09934831460674157,1.0,50
45500,0.09732791208791208,0.0956043956043956,0.09942857142857142,1.0,50
46500,0.09661935483870968,0.09410752688172043,0.09873118279569892,1.0,50
47500,0.0969861052631579,0.09372631578947369,0.09991578947368421,1.0,50
48500,0.09667257731958762,0.09445360824742267,0.0991340206185567,1.0,50
49500,0.09709535353535353,0.09454545454545454,0.09892929292929292,1.0,50
50500,0.09700554455445545,0.094,0.09942574257425743,1.0,50
51500,0.09697864077669902,0.09450485436893204,0.09920388349514563,1.0,50
52500,0.09718171428571427,0.0948952380952381,0.09881904761904763,1.0,50
53500,0.09716747663551402,0.09536448598130841,0.09857943925233645,1.0,50
54500,0.09676220183486238,0.09453211009174312,0.09977981651376147,1.0,50
55500,0.09687927927927927,0.09549549549549549,0.09900900900900901,1.0,50
56500,0.0968353982300885,0.09433628318584071,0.09987610619469027,1.0,50
57500,0.09651234782608695,0.09413913043478261,0.09897391304347826,1.0,50
58500,0.09655931623931624,0.09191452991452992,0.09981196581196582,0.96,48
59500,0.09684067226890758,0.09519327731092438,0.0992436974789916,1.0,50
60500,0.09713818181818182,0.09414876033057851,0.09998347107438016,1.0,50
61500,0.09685430894308941,0.09552845528455285,0.09861788617886179,1.0,50
62500,0.09695711999999998,0.094672,0.098928,1.0,50
63500,0.09665480314960631,0.09458267716535433,0.09982677165354331,1.0,50
64500,0.09717612403100775,0.09510077519379845,0.09848062015503876,1.0,50
65500,0.09698961832061069,0.09566412213740458,0.09868702290076335,1.0,50
66500,0.09675187969924813,0.09231578947368421,0.09923308270676692,1.0,50
67500,0.09667496296296298,0.09491851851851851,0.09894814814814815,1.0,50
68500,0.09702335766423359,0.09509489051094891,0.09899270072992701,1.0,50
69500,0.09706503597122301,0.09502158273381295,0.09913669064748201,1.0,50
70500,0.09670326241134751,0.09459574468085107,0.09890780141843972,1.0,50
71500,0.09701846153846154,0.09521678321678322,0.09911888111888112,1.0,50
72500,0.09682758620689653,0.09417931034482759,0.09975172413793103,1.0,50
73500,0.09693523809523809,0.09548299319727892,0.09854421768707483,1.0,50
74500,0.0968593288590604,0.09557046979865771,0.09841610738255034,1.0,50
75500,0.09676927152317882,0.09451655629139073,0.09896688741721854,1.0,50
76500,0.09704339869281045,0.09477124183006536,0.09949019607843138,1.0,50
77500,0.09678890322580645,0.09514838709677419,0.09910967741935484,1.0,50
78500,0.09729222929936306,0.09569426751592357,0.0989171974522293,1.0,50
79500,0.09697358490566037,0.09538364779874214,0.09890566037735848,1.0,50
80500,0.09693962732919255,0.096,0.09883229813664596,1.0,50
81500,0.09751460122699389,0.09547239263803681,0.09907975460122699,1.0,50
82500,0.09674327272727275,0.09456969696969697,0.0986060606060606,1.0,50
83500,0.09683065868263473,0.09526946107784431,0.09846706586826347,1.0,50
