n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.00576,0.002,0.014,0.22,11
1500,0.005840000000000001,0.002,0.01,0.08,4
2500,0.005784,0.0028,0.0092,0.18,9
3500,0.005828571428571429,0.0034285714285714284,0.008,0.22,11
4500,0.005595555555555556,0.0035555555555555557,0.009111111111111111,0.18,9
5500,0.005916363636363636,0.004363636363636364,0.008181818181818182,0.3,15
6500,0.005830769230769231,0.004,0.0073846153846153844,0.18,9
7500,0.005837333333333333,0.0041333333333333335,0.0072,0.2,10
8500,0.005781176470588235,0.004352941176470588,0.007411764705882353,0.26,13
9500,0.005825263157894735,0.004526315789473684,0.0074736842105263155,0.28,14
10500,0.0058038095238095245,0.004380952380952381,0.007333333333333333,0.28,14
11500,0.005899130434782608,0.004347826086956522,0.00791304347826087,0.26,13
12500,0.005820799999999999,0.00448,0.00704,0.36,18
13500,0.005887407407407408,0.004222222222222222,0.007407407407407408,0.32,16
14500,0.005655172413793104,0.004413793103448276,0.007103448275862069,0.5,25
15500,0.00584,0.004516129032258065,0.007290322580645161,0.44,22
16500,0.005656969696969697,0.004303030303030303,0.0069696969696969695,0.26,13
17500,0.005835428571428572,0.004914285714285714,0.0070857142857142855,0.44,22
18500,0.00573945945945946,0.004324324324324324,0.006648648648648649,0.24,12
19500,0.00567076923076923,0.004666666666666667,0.007230769230769231,0.34,17
20500,0.005786341463414635,0.004634146341463414,0.006926829268292683,0.4,20
21500,0.005786976744186046,0.004883720930232558,0.006930232558139535,0.46,23
22500,0.005772444444444445,0.0048,0.006844444444444445,0.44,22
23500,0.005753191489361702,0.004468085106382979,0.006553191489361702,0.36,18
24500,0.005822857142857143,0.004816326530612245,0.007142857142857143,0.4,20
25500,0.005757647058823529,0.004745098039215686,0.006392156862745098,0.46,23
26500,0.005762264150943397,0.004226415094339623,0.006377358490566038,0.64,32
27500,0.005698909090909091,0.004945454545454545,0.006654545454545455,0.46,23
28500,0.00584,0.004947368421052632,0.006526315789473684,0.54,27
29500,0.0057925423728813555,0.004406779661016949,0.006440677966101695,0.44,22
30500,0.005798032786885247,0.0051147540983606556,0.006295081967213114,0.56,28
31500,0.005769523809523809,0.004920634920634921,0.007142857142857143,0.42,21
32500,0.005797538461538462,0.005107692307692308,0.006923076923076923,0.58,29
33500,0.005842388059701493,0.005014925373134328,0.006716417910447761,0.3,15
34500,0.005780289855072463,0.004811594202898551,0.00663768115942029,0.58,29
35500,0.005669859154929576,0.004929577464788733,0.006647887323943662,0.46,23
36500,0.005863013698630137,0.005178082191780822,0.0070136986301369865,0.6,30
37500,0.0058448,0.005253333333333333,0.0064,0.5,25
38500,0.0058218181818181815,0.005012987012987013,0.006363636363636364,0.56,28
39500,0.005747341772151898,0.005139240506329114,0.006607594936708861,0.56,28
40500,0.005867654320987654,0.005012345679012346,0.006567901234567901,0.64,32
41500,0.005828433734939759,0.005325301204819277,0.0066024096385542165,0.74,37
42500,0.005805647058823527,0.005317647058823529,0.006470588235294118,0.54,27
43500,0.005674022988505747,0.004827586206896552,0.006344827586206896,0.54,27
44500,0.005733483146067415,0.00501123595505618,0.006157303370786517,0.78,39
45500,0.005759120879120879,0.005208791208791209,0.006571428571428572,0.38,19
46500,0.0058060215053763456,0.005053763440860215,0.006344086021505376,0.64,32
47500,0.0057936842105263155,0.005115789473684211,0.006421052631578947,0.54,27
48500,0.005785979381443299,0.005340206185567011,0.006309278350515464,0.74,37
49500,0.00577050505050505,0.005090909090909091,0.0063232323232323235,0.64,32
50500,0.005803168316831684,0.00504950495049505,0.006594059405940594,0.54,27
51500,0.0057634951456310675,0.005262135922330097,0.006427184466019417,0.5,25
52500,0.005750095238095237,0.005257142857142857,0.006380952380952381,0.84,42
53500,0.005720747663551403,0.0053271028037383174,0.00611214953271028,0.76,38
54500,0.00584256880733945,0.005394495412844037,0.006330275229357798,0.66,33
55500,0.005687207207207207,0.004882882882882883,0.006486486486486486,0.56,28
56500,0.005713628318584071,0.004973451327433628,0.006442477876106195,0.54,27
57500,0.005741913043478261,0.005182608695652174,0.006121739130434783,0.76,38
58500,0.005811965811965813,0.00505982905982906,0.006666666666666667,0.58,29
59500,0.005774789915966386,0.005243697478991597,0.006151260504201681,0.86,43
60500,0.005743140495867769,0.005140495867768595,0.006214876033057851,0.72,36
61500,0.0057183739837398375,0.004943089430894309,0.0061951219512195125,0.64,32
62500,0.005864319999999999,0.005552,0.00616,0.82,41
63500,0.005831181102362205,0.0052125984251968505,0.006409448818897638,0.6,30
64500,0.005880000000000001,0.005395348837209302,0.006387596899224806,0.62,31
65500,0.005787480916030534,0.005129770992366413,0.006351145038167939,0.7,35
66500,0.005809323308270676,0.005157894736842105,0.006240601503759399,0.68,34
67500,0.005802962962962962,0.0052148148148148145,0.006251851851851852,0.8,40
68500,0.005731386861313869,0.005182481751824818,0.006832116788321168,0.52,26
69500,0.005842302158273383,0.005294964028776978,0.006316546762589928,0.54,27
70500,0.00582921985815603,0.005361702127659574,0.006382978723404255,0.6,30
71500,0.00578937062937063,0.005230769230769231,0.0063916083916083916,0.8,40
72500,0.005756137931034483,0.0052689655172413795,0.006248275862068966,0.72,36
73500,0.005700408163265307,0.0051972789115646255,0.006285714285714286,0.76,38
74500,0.005802147651006712,0.0051409395973154364,0.006187919463087248,0.72,36
75500,0.005740397350993377,0.004913907284768212,0.006794701986754967,0.58,29
76500,0.005779084967320261,0.005411764705882353,0.0060915032679738565,0.92,46
77500,0.005829677419354838,0.005290322580645161,0.006787096774193548,0.38,19
78500,0.005788025477707005,0.00535031847133758,0.006547770700636943,0.68,34
79500,0.005847547169811321,0.005320754716981132,0.00630188679245283,0.7,35
80500,0.0057932919254658375,0.0052049689440993785,0.0063975155279503105,0.6,30
81500,0.005755582822085891,0.0050920245398773005,0.006355828220858895,0.46,23
82500,0.005808969696969698,0.005333333333333333,0.006327272727272727,0.74,37
83500,0.005779640718562874,0.005401197604790419,0.006167664670658683,0.84,42
84500,0.005720710059171598,0.005207100591715977,0.006082840236686391,0.76,38
85500,0.005797426900584796,0.005228070175438596,0.006397660818713451,0.78,39
86500,0.005700115606936416,0.005190751445086705,0.006289017341040462,0.52,26
87500,0.005777142857142857,0.005348571428571428,0.0061028571428571425,0.8,40
88500,0.005765197740112994,0.0054124293785310735,0.00615819209039548,0.82,41
89500,0.005755307262569832,0.005474860335195531,0.006078212290502793,0.9,45
90500,0.005829171270718232,0.005204419889502762,0.006132596685082873,0.84,42
91500,0.005729180327868852,0.005377049180327869,0.006229508196721312,0.82,41
92500,0.005790918918918918,0.005427027027027027,0.006172972972972973,0.82,41
93500,0.005855187165775401,0.005358288770053476,0.0062352941176470585,0.7,35
94500,0.005860952380952381,0.005396825396825397,0.006338624338624339,0.78,39
95500,0.005769633507853402,0.005214659685863874,0.00618848167539267,0.78,39
