n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.14404000000000003,0.11,0.202,0.3,15
1500,0.1433333333333333,0.124,0.15733333333333333,0.68,34
2500,0.14679199999999998,0.1356,0.1592,0.76,38
3500,0.14333714285714286,0.13085714285714287,0.15942857142857142,0.8,40
4500,0.14499111111111113,0.13111111111111112,0.15311111111111111,0.8,40
5500,0.14507636363636364,0.13218181818181818,0.16090909090909092,0.8,40
6500,0.14707692307692305,0.13723076923076924,0.15738461538461537,0.92,46
7500,0.14573333333333335,0.134,0.15346666666666667,0.94,47
8500,0.14551764705882353,0.1368235294117647,0.15505882352941178,0.86,43
9500,0.14491368421052633,0.13421052631578947,0.15210526315789474,0.94,47
10500,0.1458247619047619,0.13885714285714285,0.15352380952380953,0.98,49
11500,0.14657913043478263,0.14043478260869566,0.15156521739130435,1.0,50
12500,0.1463728,0.13992,0.15272,1.0,50
13500,0.1463037037037037,0.14096296296296296,0.1534074074074074,0.98,49
14500,0.14616827586206896,0.13889655172413792,0.15165517241379312,1.0,50
15500,0.1458,0.13825806451612904,0.15187096774193548,1.0,50
16500,0.14539030303030306,0.1398181818181818,0.1501818181818182,1.0,50
17500,0.14577371428571428,0.14011428571428572,0.15194285714285713,1.0,50
18500,0.14457729729729732,0.13897297297297298,0.15194594594594596,1.0,50
19500,0.14575794871794873,0.14,0.15317948717948718,0.98,49
20500,0.14552195121951217,0.1384878048780488,0.14960975609756097,1.0,50
21500,0.1457172093023256,0.13953488372093023,0.1533953488372093,0.98,49
22500,0.14494311111111113,0.1391111111111111,0.15026666666666666,1.0,50
23500,0.14513361702127658,0.13974468085106384,0.150468085106383,1.0,50
24500,0.14538857142857142,0.14057142857142857,0.14987755102040817,1.0,50
25500,0.1458713725490196,0.14215686274509803,0.15023529411764705,1.0,50
26500,0.14513962264150945,0.14132075471698113,0.14883018867924527,1.0,50
27500,0.145672,0.14054545454545456,0.14967272727272726,1.0,50
28500,0.14562105263157896,0.14105263157894737,0.15010526315789474,1.0,50
29500,0.14555593220338983,0.14054237288135593,0.149864406779661,1.0,50
30500,0.14542360655737707,0.1417704918032787,0.15052459016393444,1.0,50
31500,0.145704126984127,0.1386984126984127,0.1493015873015873,1.0,50
32500,0.14588123076923076,0.14126153846153847,0.1500923076923077,1.0,50
33500,0.14576537313432836,0.14140298507462687,0.14940298507462688,1.0,50
34500,0.14550434782608698,0.14179710144927538,0.14971014492753623,1.0,50
35500,0.14529802816901408,0.1407323943661972,0.1503098591549296,1.0,50
36500,0.14552383561643836,0.14156164383561645,0.15013698630136987,1.0,50
37500,0.14581760000000002,0.14306666666666668,0.14933333333333335,1.0,50
38500,0.14523064935064936,0.1417922077922078,0.14841558441558442,1.0,50
39500,0.14556759493670884,0.14116455696202532,0.1489873417721519,1.0,50
40500,0.14532395061728395,0.14185185185185184,0.15158024691358024,1.0,50
41500,0.1453966265060241,0.14026506024096386,0.1483132530120482,1.0,50
42500,0.14577788235294117,0.14261176470588235,0.1484705882352941,1.0,50
43500,0.14551770114942528,0.14142528735632184,0.14949425287356322,1.0,50
44500,0.14542157303370787,0.14148314606741574,0.149123595505618,1.0,50
45500,0.14578153846153846,0.1429010989010989,0.14934065934065935,1.0,50
46500,0.14577978494623658,0.14238709677419356,0.1489032258064516,1.0,50
47500,0.14564126315789472,0.14176842105263157,0.1482105263157895,1.0,50
48500,0.14597938144329894,0.1425360824742268,0.1491340206185567,1.0,50
49500,0.14554747474747473,0.14272727272727273,0.14886868686868687,1.0,50
50500,0.14534930693069306,0.14213861386138613,0.1493069306930693,1.0,50
51500,0.14552543689320388,0.1427766990291262,0.14780582524271846,1.0,50
52500,0.14546628571428571,0.14213333333333333,0.14946666666666666,1.0,50
53500,0.1453988785046729,0.14186915887850468,0.14768224299065422,1.0,50
54500,0.14564477064220185,0.1423119266055046,0.14825688073394497,1.0,50
55500,0.14535279279279278,0.14162162162162162,0.14754954954954955,1.0,50
