n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.0094,0.002,0.022,0.0,0
1500,0.00836,0.0033333333333333335,0.014666666666666666,0.1,5
2500,0.008856,0.0052,0.014,0.34,17
3500,0.008828571428571429,0.005714285714285714,0.012285714285714285,0.26,13
4500,0.009071111111111111,0.0057777777777777775,0.013333333333333334,0.26,13
5500,0.008701818181818182,0.006545454545454545,0.011272727272727273,0.34,17
6500,0.00904,0.006615384615384615,0.012,0.26,13
7500,0.008837333333333334,0.006533333333333334,0.010533333333333334,0.24,12
8500,0.00883764705882353,0.006705882352941176,0.011176470588235295,0.28,14
9500,0.008738947368421054,0.00631578947368421,0.01063157894736842,0.3,15
10500,0.008693333333333332,0.006857142857142857,0.010380952380952381,0.42,21
11500,0.008441739130434783,0.0061739130434782605,0.010434782608695653,0.38,19
12500,0.0088416,0.00704,0.01088,0.48,24
13500,0.008911111111111113,0.007481481481481481,0.010592592592592593,0.42,21
14500,0.008939310344827586,0.007241379310344828,0.010206896551724139,0.38,19
15500,0.009058064516129033,0.007161290322580645,0.010451612903225806,0.32,16
16500,0.008901818181818183,0.006787878787878788,0.010121212121212121,0.6,30
17500,0.008675428571428572,0.0072,0.010457142857142858,0.44,22
18500,0.008850810810810811,0.007459459459459459,0.01027027027027027,0.44,22
19500,0.008973333333333333,0.007794871794871795,0.011076923076923076,0.44,22
20500,0.008770731707317075,0.007024390243902439,0.010146341463414634,0.54,27
21500,0.008702325581395349,0.007813953488372093,0.010372093023255815,0.58,29
22500,0.008841777777777778,0.007555555555555556,0.009822222222222222,0.58,29
23500,0.008942127659574469,0.007872340425531916,0.010808510638297871,0.62,31
24500,0.008715918367346939,0.007306122448979592,0.010448979591836735,0.56,28
25500,0.008832156862745098,0.0072549019607843135,0.01003921568627451,0.62,31
26500,0.008866415094339622,0.007547169811320755,0.009924528301886792,0.56,28
27500,0.008812363636363637,0.007672727272727273,0.01010909090909091,0.58,29
28500,0.008730526315789473,0.0076491228070175435,0.009754385964912281,0.46,23
29500,0.008846101694915254,0.007728813559322034,0.009796610169491526,0.76,38
30500,0.008983606557377049,0.007770491803278688,0.009967213114754098,0.66,33
31500,0.008740952380952382,0.007936507936507936,0.01,0.56,28
32500,0.008958153846153845,0.007907692307692308,0.009907692307692308,0.48,24
33500,0.008793432835820895,0.007552238805970149,0.009850746268656717,0.7,35
34500,0.008842898550724636,0.007768115942028985,0.009942028985507246,0.64,32
35500,0.008847887323943662,0.007943661971830987,0.009915492957746479,0.7,35
36500,0.008778082191780822,0.0070136986301369865,0.00989041095890411,0.62,31
37500,0.008838933333333333,0.0077866666666666666,0.009786666666666667,0.68,34
38500,0.008929870129870128,0.008,0.009844155844155844,0.54,27
39500,0.008922025316455697,0.007974683544303798,0.009772151898734177,0.66,33
40500,0.008870123456790124,0.007851851851851851,0.009876543209876543,0.66,33
41500,0.008776867469879516,0.007445783132530121,0.00983132530120482,0.66,33
42500,0.00879670588235294,0.008047058823529412,0.009811764705882353,0.68,34
43500,0.008894712643678162,0.007793103448275862,0.009885057471264367,0.56,28
44500,0.00876629213483146,0.00802247191011236,0.00948314606741573,0.7,35
45500,0.008804395604395604,0.007868131868131869,0.009846153846153846,0.66,33
46500,0.008951397849462367,0.00789247311827957,0.009720430107526882,0.6,30
47500,0.008950736842105263,0.008063157894736842,0.009621052631578947,0.66,33
48500,0.008832577319587628,0.008144329896907216,0.009525773195876289,0.68,34
49500,0.008818181818181819,0.007818181818181818,0.009696969696969697,0.7,35
50500,0.00883881188118812,0.007722772277227723,0.009544554455445544,0.74,37
51500,0.008953786407766992,0.007902912621359223,0.01,0.74,37
52500,0.008929142857142856,0.008076190476190476,0.010038095238095238,0.64,32
53500,0.008795887850467289,0.007682242990654206,0.009588785046728972,0.8,40
54500,0.008862752293577983,0.00818348623853211,0.009467889908256881,0.72,36
55500,0.008815855855855856,0.008162162162162163,0.00972972972972973,0.8,40
56500,0.008815575221238938,0.008070796460176992,0.00968141592920354,0.76,38
57500,0.008866782608695653,0.008104347826086957,0.009495652173913044,0.76,38
58500,0.008876239316239315,0.007829059829059829,0.009606837606837606,0.68,34
