n,ro_mean,ro_min,ro_max,valid_rate,valid_count
500,0.00484,0.0,0.014,0.0,0
1500,0.004426666666666667,0.0013333333333333333,0.007333333333333333,0.0,0
2500,0.004264,0.0012,0.0076,0.18,9
3500,0.004268571428571429,0.002,0.0074285714285714285,0.36,18
4500,0.00436,0.0024444444444444444,0.0064444444444444445,0.2,10
5500,0.004530909090909091,0.0027272727272727275,0.006,0.22,11
6500,0.004387692307692308,0.0026153846153846153,0.006461538461538461,0.06,3
7500,0.004554666666666666,0.0032,0.006533333333333334,0.2,10
8500,0.004432941176470587,0.0029411764705882353,0.006,0.28,14
9500,0.004404210526315789,0.003368421052631579,0.006105263157894737,0.2,10
10500,0.004379047619047619,0.003142857142857143,0.006666666666666667,0.26,13
11500,0.004483478260869565,0.0028695652173913043,0.006,0.38,19
12500,0.0045455999999999995,0.0032,0.00528,0.22,11
13500,0.004348148148148148,0.0034074074074074076,0.005703703703703704,0.32,16
14500,0.004457931034482759,0.003172413793103448,0.005793103448275862,0.24,12
15500,0.0043277419354838705,0.0025806451612903226,0.005741935483870968,0.2,10
16500,0.004313939393939394,0.002909090909090909,0.005575757575757576,0.24,12
17500,0.004414857142857142,0.0034857142857142856,0.005828571428571429,0.4,20
18500,0.004357837837837837,0.0033513513513513515,0.005783783783783784,0.44,22
19500,0.00444102564102564,0.003128205128205128,0.005435897435897436,0.38,19
20500,0.004310243902439025,0.0033658536585365853,0.005609756097560975,0.38,19
21500,0.004357209302325581,0.0032558139534883722,0.005023255813953489,0.38,19
22500,0.004526222222222221,0.0036888888888888887,0.0054666666666666665,0.44,22
23500,0.004390638297872341,0.003574468085106383,0.0050638297872340424,0.38,19
24500,0.004315102040816327,0.003510204081632653,0.005183673469387755,0.44,22
25500,0.0044172549019607845,0.003411764705882353,0.0055294117647058825,0.34,17
26500,0.004415094339622641,0.003283018867924528,0.005094339622641509,0.32,16
27500,0.004388363636363636,0.0037818181818181818,0.005381818181818182,0.36,18
28500,0.004492631578947369,0.003649122807017544,0.005228070175438596,0.52,26
29500,0.0043010169491525425,0.0036949152542372883,0.005491525423728814,0.5,25
30500,0.0044321311475409835,0.0037049180327868854,0.005081967213114754,0.6,30
31500,0.004425396825396825,0.0036825396825396826,0.005174603174603175,0.4,20
32500,0.004366153846153846,0.0035076923076923076,0.005107692307692308,0.32,16
33500,0.0044829850746268655,0.003970149253731343,0.005373134328358209,0.5,25
34500,0.004322898550724638,0.0036521739130434784,0.005072463768115942,0.24,12
35500,0.0043808450704225345,0.0035774647887323943,0.005098591549295775,0.46,23
