n_rest,rest_ratio_vs_total,rest_ratio_vs_rest_pool,phi_topN,phi_rest,E_topN,E_rest_only,E_hybrid
1000,0.002,0.00202020202020202,-0.32193015303276884,-1.4773012729512387,1.9336862659919463,3.089057385910416,1.7992314259840074
6000,0.012,0.012121212121212121,-0.7747747944373975,-0.3040702322916893,1.9336862659919463,1.462981703846238,1.0788450267290868
11000,0.022,0.022222222222222223,-0.8318352909257957,0.1150625849669879,1.9336862659919463,0.9867883900991626,0.7167727059588077
16000,0.032,0.03232323232323232,-0.9586356086307102,0.29430214847308256,1.9336862659919463,0.6807485088881535,0.6643334601576276
21000,0.042,0.04242424242424243,-0.9604366224349077,0.31697308855731116,1.9336862659919463,0.6562765549997275,0.6434635338775965
26000,0.052,0.052525252525252523,-0.9160295491730785,0.41643102926965075,1.9336862659919463,0.6012256875492169,0.4995985199034278
31000,0.062,0.06262626262626263,-0.9408674417969173,0.4047376295130211,1.9336862659919463,0.5880811946820078,0.5361298122838961
36000,0.072,0.07272727272727272,-0.9416448306013295,0.4042171811113505,1.9336862659919463,0.5878242542792662,0.537427649489979
41000,0.082,0.08282828282828283,-0.9561344230188863,0.5649286748678307,1.9336862659919463,0.41262316810522925,0.3912057481510556
46000,0.092,0.09292929292929293,-0.9655310990045415,0.5167666460941611,1.9336862659919463,0.45138852089324366,0.4487644529103803
50000,0.1,0.10101010101010101,-0.9787107364815346,0.48460702260516064,1.9336862659919463,0.47036850690525095,0.4941037138763739
