n_rest,rest_ratio_vs_total,rest_ratio_vs_rest_pool,phi_topN,phi_rest,E_topN,E_rest_only,E_hybrid,rest
1000,0.002,0.002020202020202,-0.3065762240847857,-1.3445444041666952,1.9336862659919465,2.9716544460738556,1.6511206282514808,random
6000,0.012,0.0121212121212121,-0.9184844945478308,-0.2337797443921568,1.9336862659919465,1.2489815158362725,1.1522642389399875,random
11000,0.022,0.0222222222222222,-0.815994730279458,0.1975271437485083,1.9336862659919465,0.9201643919639798,0.6184675865309496,random
16000,0.032,0.0323232323232323,-0.8610473921144348,0.2027600673641729,1.9336862659919465,0.8698788065133385,0.6582873247502619,random
21000,0.042,0.0424242424242424,-0.9374302683110274,0.2835439366506754,1.9336862659919465,0.7127120610302435,0.6538863316603519,random
26000,0.052,0.0525252525252525,-0.9332225192668931,0.4348974268793254,1.9336862659919465,0.5655663198457275,0.4983250923875678,random
31000,0.062,0.0626262626262626,-0.9309506163120006,0.328871639606582,1.9336862659919465,0.6738640100733636,0.6020789767054185,random
36000,0.072,0.0727272727272727,-0.954107365591113,0.3540430433276619,1.9336862659919465,0.6255358570731714,0.6000643222634511,random
41000,0.082,0.0828282828282828,-0.9230222749763438,0.4341778642299337,1.9336862659919465,0.5764861267856687,0.4888444107464101,random
46000,0.092,0.0929292929292929,-0.9373047399073784,0.607131048735789,1.9336862659919465,0.3892504773487789,0.3301736911715894,random
50000,0.1,0.101010101010101,-0.9529178909755556,0.4999803523738454,1.9336862659919465,0.4807880226425452,0.4529375386017103,random
1000,0.002,0.002020202020202,-0.105250380261636,-1.612232537957896,1.9336862659919465,3.4406684236882064,1.717482918219532,stratified
6000,0.012,0.0121212121212121,-0.7799844577612938,-0.2764498650274707,1.9336862659919465,1.4301516732581232,1.0564343227887645,stratified
11000,0.022,0.0222222222222222,-0.8332327655445914,0.1373602703589372,1.9336862659919465,0.9630932300884176,0.6958724951856542,stratified
16000,0.032,0.0323232323232323,-0.8731528191476485,0.0976691377180569,1.9336862659919465,0.9628643091262408,0.7754836814295917,stratified
21000,0.042,0.0424242424242424,-0.9217147213932636,0.3547295142368207,1.9336862659919465,0.657242030361862,0.5669852071564427,stratified
26000,0.052,0.0525252525252525,-0.9637308822138996,0.3163804031504498,1.9336862659919465,0.6535749806275968,0.6473504790634498,stratified
31000,0.062,0.0626262626262626,-0.95317352402575,0.4221572016821366,1.9336862659919465,0.5583555402840595,0.5310163223436134,stratified
36000,0.072,0.0727272727272727,-0.9204931901671204,0.5168609222288773,1.9336862659919465,0.4963321535959484,0.4036322679382432,stratified
41000,0.082,0.0828282828282828,-0.9580141294753932,0.4779154403847697,1.9336862659919465,0.4977566961317833,0.4800986890906234,stratified
46000,0.092,0.0929292929292929,-0.946497167245432,0.3828539778256684,1.9336862659919465,0.604335120920846,0.5636431894197635,stratified
50000,0.1,0.101010101010101,-0.9474450206489275,0.5299094246321979,1.9336862659919465,0.4563318207108207,0.4175355960167297,stratified
1000,0.002,0.002020202020202,-0.3219301530327688,-1.4773012729512387,1.9336862659919465,3.089057385910416,1.7992314259840074,bucket
6000,0.012,0.0121212121212121,-0.7747747944373975,-0.3040702322916893,1.9336862659919465,1.462981703846238,1.0788450267290868,bucket
11000,0.022,0.0222222222222222,-0.8318352909257957,0.1150625849669879,1.9336862659919465,0.9867883900991626,0.7167727059588077,bucket
16000,0.032,0.0323232323232323,-0.9586356086307102,0.2943021484730825,1.9336862659919465,0.6807485088881535,0.6643334601576276,bucket
21000,0.042,0.0424242424242424,-0.9604366224349076,0.3169730885573111,1.9336862659919465,0.6562765549997275,0.6434635338775965,bucket
26000,0.052,0.0525252525252525,-0.9160295491730784,0.4164310292696507,1.9336862659919465,0.6012256875492169,0.4995985199034278,bucket
31000,0.062,0.0626262626262626,-0.9408674417969172,0.4047376295130211,1.9336862659919465,0.5880811946820078,0.5361298122838961,bucket
36000,0.072,0.0727272727272727,-0.9416448306013296,0.4042171811113505,1.9336862659919465,0.5878242542792662,0.537427649489979,bucket
41000,0.082,0.0828282828282828,-0.9561344230188864,0.5649286748678307,1.9336862659919465,0.4126231681052292,0.3912057481510556,bucket
46000,0.092,0.0929292929292929,-0.9655310990045416,0.5167666460941611,1.9336862659919465,0.4513885208932436,0.4487644529103803,bucket
50000,0.1,0.101010101010101,-0.9787107364815346,0.4846070226051606,1.9336862659919465,0.4703685069052509,0.4941037138763739,bucket
